"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	-0.623742778825948	-0.0858022283433146	-0.551582327627443	-0.139387729625558	0.300102277583931	-0.552860332865429	-0.192672773557339	-0.501405360205915	-0.543753466506727	-0.107654857675207	-0.449230034226243	0.309921891606774	0.884647175974112	0.723040366194394	0.273477375990653	0.646964440612335	0.163948412006165	-0.22424338967303
"Leibra"	-0.554379682559214	-0.439967480244294	-0.374152488067648	-0.5025030667059	0.0491801718636341	-0.539268217386015	-0.549918356512776	-0.654550594009864	-0.595294914833924	-0.29177599888273	-0.269391083687462	0.169405084686677	0.0313090435754906	0.205055741669519	0.108137683906985	1.41246146231696	0.270747522755116	0.315590646664004
"Trycru"	-0.546045470721174	0.728041775870621	-0.295747829859	-0.148176028253949	0.0726522622072925	-0.713427026675684	0.200209208457358	-0.479971414884823	-0.412793361394548	-0.282583221052046	0.0158346553679211	2.87869505175886	0.342640577955303	0.191100869812548	0.219420139650315	1.47053635873946	0.828672268098492	0.153141848020373
"Ectsil"	-0.303219202473963	-0.0594347481823563	-0.169647375203557	-0.351999725363138	0.205661322087048	-0.26169321581226	-0.249813309744661	-0.562887368377271	-0.261590358744964	0.108346114263045	-0.0438370765955368	0.646096045937296	0.490455938950794	0.382325084864933	0.609442022899284	0.259747260366903	0.00594162489833467	0.396507851543401
"Aurlim"	-0.65138106900928	-0.0276292387716667	-0.477163978524487	-0.0910382689621889	0.0252658905298244	-0.172403041543918	-0.082071433442524	-0.317428352131295	-0.501324448154569	0.164450320242419	-0.182737152215669	0.493051320542591	0.135956310850219	-0.0777216845660209	-0.308545817406291	0.91420695490429	0.39585793425817	-0.0460236818307049
"Hypcat"	-0.661075164790102	-0.594903585520765	-0.570810376650246	-0.623491338826436	-0.254461195236185	-0.532061885700021	-0.582008573046407	-0.58536881251845	-0.561594760424413	-0.137479430278927	-0.506523172732369	-0.20574792955907	-0.448911998304745	-0.425436918320809	-0.505726647750431	0.968721933688331	0.66209711573573	-0.496271163967807
"Aurano"	-0.607860020529824	1.95539213318956	-0.258686146736763	0.812589959172178	0.112133811883208	-0.759730936451755	0.859171850138578	-0.212508624614253	-0.441198884294803	0.13022103765107	0.0728487450303999	2.55347358466305	-0.189888792537397	-0.136484851122404	0.536230951944133	-0.369909596919318	-0.65152343234351	0.985644113317997
"Blahom"	-0.593231004932903	-0.0482620381095366	-0.477701786199434	0.859865022301469	-0.173570458519088	-0.586981381094197	-0.0559088571443361	-0.59058449518201	-0.447135469959977	-0.154670445121084	-0.361044523563061	0.888824010838776	-0.117389937530854	-0.319674173028462	-0.34379537828198	0.798261328893818	0.311242933939727	0.351116764210642
"Nangad"	-0.570210484238128	0.482464876257785	-0.388663986291265	-0.161894615388216	0.250697325715703	-0.484043268009895	0.125649046764784	-0.359095251699147	-0.330118163200234	0.210876143838846	-0.262336940114284	0.170756256469858	0.260513117024011	0.205688685382959	0.136785784322095	0.0598218740946165	0.432878830459964	-0.260020121653365
"Fracyl"	0.139440576309492	-0.0844236140061266	-0.107188375854574	-0.0733250251997653	-0.0712081592931997	-0.0202931402808154	-0.113851054752976	-0.487944691033829	-0.300559643084609	0.253738027118738	-0.473209422748005	0.290818159496249	0.303651678810111	-0.141591482513196	-0.280075909839062	0.368136447407498	-0.199485109321639	0.310414085576854
"Psemul"	0.528297153246175	0.123818298902044	0.288811309501429	0.175745474723929	0.115141552840164	0.0216344297901192	0.0281956004414361	-0.586046925894954	0.0363165094574307	0.357724848686832	0.0903057121379794	0.252557575492428	0.285384080840277	-0.0996696667131905	-0.0619751376988884	0.083475490254777	-0.299665587257013	0.852249189112952
"Phatri"	-0.209830318986575	0.364200003974611	-0.185086640812124	0.174603395015749	-0.0624891910533303	-0.0741234731083314	0.0719487629131346	-0.587848035842551	-0.141332892553657	0.393524410952815	-0.200323532061281	0.260962940937311	-0.209710909007709	-0.217814271135794	-0.187254084777577	-0.0066189109555288	-0.4330889807385	0.167611788318801
"Thapse"	-0.643605609007056	-0.499810908548978	-0.583908909767417	-0.342278460805331	-0.0227725707437283	-0.411479266728683	-0.401191125244539	-0.707473948049673	-0.608844727228406	0.0529327358392349	-0.613052896760651	-0.53550319776184	0.520064796382089	-0.185325547160508	-0.218536365407165	0.361213087458076	-0.516070120449643	-0.275138151320217
"Albcan"	-0.330293281257759	0.173700834941595	-0.418722885732857	0.380581224299339	0.0811430054124347	-0.347540428276617	0.0210749320132046	-0.604744886619502	-0.401595428898346	-0.254750777315163	-0.459626073482079	-0.292255974372219	0.404859791205168	0.0982968547618338	-0.117479088563029	0.288016939368286	-0.146772740616151	-0.194947048051217
"Pytult"	-0.555888502799175	-0.10072193901278	-0.538809931422571	-0.23582966385282	0.219218566330272	-0.483421733576335	-0.144990872854533	-0.542737262813911	-0.649077440959219	0.108434134330935	-0.424527718891126	1.04037812299102	0.339754463249328	0.268803268836561	-0.0551672451037975	0.772054063395854	-0.243599120811365	-0.113714048594046
"Sappar"	-0.237563899337091	-0.17125365387527	-0.191592082604761	-0.378537017293448	0.51927131093395	-0.230638058817184	-0.254555141328928	-0.581614043191069	-0.50859618952467	0.525267963641242	0.0162947020929587	0.78715927913543	0.581597890593787	0.452164688451455	0.480647605203391	0.367424760173265	-0.647535926139006	0.60285110834715
"Phyinf"	-0.175671117108121	-0.0336513664213298	-0.332172914984819	-0.255313217005242	-0.0229594598436384	-0.294277200995904	-0.114446740465308	-0.232389404390955	-0.333205973093821	-0.0595342641480217	-0.418227104681547	-0.310522856659128	-0.0840090300257434	-0.0331603756704853	0.277966893992177	0.532832160419587	-0.168559662855625	-0.134975182329588
"Hyaara"	-0.28320833461781	-0.0717850955850088	-0.317871089754036	-0.195697255249176	0.0603118175696774	-0.259405143821704	-0.10144911897789	-0.249618639375363	-0.405245791957081	-0.119610713897611	-0.367396427569746	-0.014557701101373	0.0312680607566365	0.0403249496829312	0.100500116091279	0.590473975072417	-0.31359105927904	-0.198138066204239
"Psecub"	-0.456931983728439	0.297820950055408	0.273147635862399	-0.0303481229802052	0.215920347981451	-0.579615508316092	0.153557705752862	-0.320282836948354	-0.206667122444553	0.190748605536107	1.06524992311999	1.12954410696116	0.00648568406663405	0.0631874352812707	-0.173870327663749	1.52048327608931	2.29096212867889	1.08082983462803
"Gialam"	-0.584540727283259	-0.314169162463447	-0.416422390915622	-0.354920300490567	0.0684042623924074	-0.51133536951119	-0.296689613536307	-0.363397518476552	-0.367491549407859	-0.0483303489631059	-0.190322924885562	-0.0751023778307302	0.344893434128758	0.205865515807763	-0.0570818496977818	1.33162837976089	0.773397513913459	-0.325335587781687
"Permar"	-0.419083320283118	0.245688269232963	-0.413056101559193	0.138142386880126	0.0274810714321478	-0.342915850182801	-0.152869232946751	-0.553317876908409	-0.384790287932477	-0.00125338297529949	-0.381373618832173	-0.253069117071273	0.00662024995400074	-0.057898762812302	0.00333219653084751	0.157415539714459	-0.129571155981931	-0.345422746390921
"Stylem"	-0.850661962366059	0.0762039239612396	-0.675307514235544	0.382924002296426	-0.223924252108648	-0.447170991119076	-0.0255038714408378	-0.0443620974512676	-0.726137969649691	-0.252846029104724	-0.124460689595853	0.286330861388897	-0.182964367457457	-0.460072650533027	-0.707855690457921	0.636689238540924	0.73800888169675	-0.120383668682413
"Oxytri"	-0.841087515090499	0.142327935254333	-0.797557453160151	0.207458890713154	-0.114733347816928	-0.464848074534012	0.0836184044897422	0.0522213406182187	-0.806025870363478	-0.177172508966615	-0.770192034959943	-0.836646173921282	-0.231327179658513	-0.312318153924429	-0.570474521656087	0.527779186277509	0.482535890995436	-0.690860225350492
"Partet"	-0.855237150059113	0.0645037953016836	-0.810050366158927	0.554524007884865	-0.194788235865536	-0.443922436842752	0.163430868397755	-0.0464568351762009	-0.768687002076751	0.183567775042506	-0.725278115075699	-0.537866052432855	0.0662059692709439	-0.335461765961127	-0.461401542439458	0.569971099167702	1.0811275983733	-0.847174512809774
