Plaviv	3150	90459	10969	9948	130286	5986	200013	172743	46694	8569	2889	674	19482	55815	20416	13753	1227	1365
Babbov	2245	17993	5382	4248	49198	4226	53335	52020	17964	5479	729	58	6466	14394	6238	4076	138	413
Thepar	1042	41066	2481	5088	30470	1856	87118	82937	11064	1905	284	8	2252	7758	4453	1869	62	220
Crypa1	1099	56627	2147	9011	33388	1711	110047	97637	6360	1633	236	6	6758	10593	3454	2027	54	114
Hamham	17915	102457	109124	33681	356617	12476	216976	128791	312114	19993	43860	5326	48998	183285	34036	77549	4083	15656
Toxgon	16263	100329	88679	32229	351000	12038	209951	125039	275129	18864	32213	4608	51001	183010	36034	75140	3987	11722
Ichmul	655	381229	1702	22002	75313	687	687968	704024	9432	1474	216	2	21620	21656	11338	2589	135	12
Oxytri	1146	276616	3091	40789	199667	3980	563669	556258	11026	5829	364	6	26061	49011	14962	11537	278	104
Partet	1088	441915	2741	72826	237293	4146	918676	846933	12677	8653	312	12	50438	58764	25569	11574	322	39
Stylem	535	110473	2119	19826	80189	1954	237637	235984	6773	2611	551	24	11803	17097	4377	5608	157	138
Tetthe	756	799692	1705	57393	234051	3806	1409387	1412401	6732	4777	116	8	52517	63529	24225	12191	388	38
Permar	15819	141738	56046	38801	348168	17805	316796	202694	189074	27228	14195	1045	34679	109935	35664	32061	1508	4006
Enthis	103	90572	199	5946	54715	318	212919	203202	1204	1859	16	2	9667	12616	7360	1539	29	6
Acacas	15910	33415	113385	11078	235844	31395	103665	66371	224897	24009	57090	7300	10394	76907	19188	46874	4553	22224
Dicdis	1632	215886	3097	16286	72230	4437	412102	375801	6592	4285	122	7	11197	17829	9858	2195	68	108
Polpal	10555	135991	20705	24060	104848	7563	313781	269072	39705	6015	1497	28	13060	28473	14287	6777	152	1972
Guithe	16201	113017	81707	30823	520653	25323	236460	122934	264501	51840	32448	5274	30988	177684	43353	94353	9650	7297
Leibra	7913	15613	53985	4856	152615	8214	45428	35614	115022	12386	22393	3185	9744	57162	10563	39629	1868	11091
Trycru	11564	112179	72836	22045	301934	8944	278045	167324	196880	21612	27771	4161	35612	114314	30134	60481	3540	8906
Gialam	2005	14816	9779	3665	60371	2339	47197	44105	34340	4973	3204	241	7235	21066	4479	11155	515	721
Emihux	19399	76267	303099	21897	378510	23659	148759	92421	631309	32622	187998	43750	15986	138733	25000	104762	9133	68796
Naegru	1038	194119	2565	31642	167939	4106	410050	292048	9268	6379	301	2	17761	48359	26094	7490	204	66
Monbre	10548	41591	68773	7905	273175	12070	123850	59690	160121	32648	28277	2131	19865	94231	20382	32881	2164	7127
Sal_sp	8684	19383	65277	6447	366742	8222	77811	36174	141369	25675	29225	3549	35671	191984	44737	61380	6085	9212
Allmac	24577	38031	165996	11444	317927	21372	122286	34614	325615	52144	79228	20356	14973	91970	16173	44131	2847	26895
Catang	8923	23913	60043	8152	219985	9041	92240	31118	136031	30902	27081	5969	18642	75506	19144	16571	815	6446
Gonpro	13971	89922	62615	24832	254525	16443	227249	116587	209603	23505	19192	1992	18387	75028	22149	31657	2331	8436
Batden	2108	62616	6589	13738	147812	2756	166705	128143	21905	9142	1045	35	29309	49230	16236	14073	228	223
Hompol	2617	18184	21074	8848	163208	2762	58695	36731	45415	13710	8567	907	24328	56650	10619	34332	840	1500
Spipun	7413	47835	26217	12491	147219	8037	132255	87636	84037	12956	6115	576	16218	48432	14551	14217	700	1932
Acitak	7255	130989	59258	20398	215190	12609	393060	478885	172823	24948	26559	2844	24711	73728	19233	29591	1854	6375
Aciric	7898	68011	45462	16345	172090	6334	166463	102724	129766	15742	17410	1578	16491	56877	13711	19468	841	4668
Acralc	24688	63874	112048	19851	167517	21918	244791	367944	308494	23613	42083	3215	10246	46445	12470	17059	1521	9608
Ajecap	6117	78422	29215	17824	159668	5760	188065	131867	103529	16459	9131	673	15582	45894	13046	17041	893	2428
Altarb	9338	43320	44114	13316	232509	13767	130868	74673	126463	25179	13909	1089	20186	80105	21995	26395	1261	4158
Apimon	14290	61266	89193	17176	310256	18117	196153	126977	241877	37779	37855	3497	28136	96933	25251	35529	2562	9999
Artoli	14089	124177	51081	30740	204195	16174	282465	225443	162413	19978	12803	679	32645	64853	19653	21154	1272	3936
Artben	6344	38697	34610	10223	132409	6676	106577	85950	101814	17216	12430	835	14255	36221	8982	18297	1080	2566
Ascrub	2331	93616	6792	11693	56610	1458	190287	156010	18764	3903	1232	68	6193	12392	4870	4484	96	534
Ascapi	4694	34898	20468	9163	101819	3885	104990	50839	56132	8075	5693	344	11512	28551	7347	11264	383	1933
Aspfum	8648	49039	42006	14574	175269	9418	142445	87996	127767	19001	13237	1053	15274	48607	11757	23148	1332	4234
Aurpul	5556	37635	27434	10629	183074	8050	112366	50540	77062	17905	8994	554	15851	57069	15364	21204	960	2347
Babino	7712	32330	24888	6738	79953	6564	83240	72338	69673	8409	5167	592	7421	24142	7302	5204	314	2720
Baucom	7796	15432	48653	4866	143322	7946	56819	41111	121780	13533	18877	1466	11634	49625	9262	22568	1086	5479
Beabas	7681	57585	62278	13592	213758	11870	161246	93752	148893	23846	30160	3652	17105	67759	17065	28784	1694	8262
Blugra	16487	263912	68165	48048	436908	18470	591897	416784	213464	37090	20891	893	36806	117812	39410	45024	1864	3613
Botfuc	8813	141584	29914	33121	229557	11081	327145	199959	103537	18223	6598	419	28594	65595	21218	18455	594	2218
Canalb	2005	71373	4572	9687	55394	2734	159945	122554	15001	4153	357	12	7862	12740	5929	3053	86	229
Cerzea	8700	59843	54140	18163	195832	9212	188233	159750	158379	19863	22000	1929	17956	69779	16900	30559	1272	5635
Chathe	8395	36081	53216	8817	170483	9743	108188	87400	143380	18805	22093	1581	12453	51468	11396	23133	1502	5246
