Plaviv	27977883 	27972476 	11841186 
Babbov	8173701 	8173700 	3400431 
Thepar	8347606 	8347594 	2841893 
Crypa1	9087724 	9083766 	2745490 
Hamham	67481208 	67481162 	35963760 
Toxgon	62966896 	62966896 	32917919 
Ichmul	48715068 	48714950 	7753114 
Oxytri	67158112 	67156729 	21055010 
Partet	72065651 	72065651 	20221709 
Stylem	27161939 	27133452 	8820352 
Tetthe	102950684 	102950683 	22974658 
Permar	86045674 	86045674 	40795797 
Enthis	20772429 	20772429 	5046737 
Acacas	46431705 	46431680 	27121567 
Dicdis	34182734 	34182592 	7667835 
Polpal	32940433 	32940433 	10565607 
Guithe	83457412 	83457412 	44320031 
Leibra	28851258 	28769402 	16627418
Trycru	89612356 	89612356 	46360379 
Gialam	11192215 	11192174 	5512321 
Emihux	167727055 	156026073 	102463187 
Naegru	36295316 	36295096 	12031666 
Monbre	38648938 	38648792 	21214381 
Sal_sp	51703572 	51703572 	28958390 
Allmac	52624944 	52624944 	32411221 
Catang	36224255 	33009507 	18444823 
Gonpro	48794828 	48252124 	25287058 
Batden	24130314 	24130314 	9471962 
Hompol	25887166 	25887004 	12879265 
Spipun	23906001 	23906001 	11380197 
Acitak	58836405 	58836294 	23621104 
Aciric	29883570 	29877113 	14742538 
Acralc	54417234 	54287836 	25213940 
Ajecap	30649313 	30649313 	14139448 
Altarb	33889384 	33889307 	17252287 
Apimon	47671174 	47652707 	24787217 
Artoli	39966216 	39966211 	17765707 
Artben	22224160 	22224156 	10833932 
Ascrub	17503998 	17461313 	5736511 
Ascapi	21566106 	21565815 	10263269 
Aspfum	28809958 	28809941 	14346892 
Aurpul	26722706 	26722706 	13312412 
Babino	15221050 	15052943 	7244615 
Baucom	21876451 	21865565 	11979185 
Beabas	33598594 	33598532 	17305913 
Blugra	98268959 	98268607 	43205189 
Botfuc	41335944 	41335097 	17543179 
Canalb	14416413 	14416413 	4825071 
Cerzea	46606380 	41701490 	20217653 
Chathe	28312548 	28312470 	14890146 
Clagra	39606234 	38381222 	17148096 
Clasph	26128862 	26128862 	14599323 
Clafus	52585647 	52585513 	19419025 
Clalus	12079919 	12079919 	5375014 
Cocpos	27013412 	27013379 	12585226 
Coclun	31171894 	31112287 	15821419 
Colglo	55393111 	55393111 	29679217 
Conapo	28506104 	28506104 	14860131 
Cormil	32212078 	32212061 	16562923 
Crypa2	43870411 	43800411 	22265200 
Cybjad	13693733 	13693733 	6093680 
Dalesc	35842392 	35842392 	16657129 
Debhan	11462343 	11462343 	4060502 
Dekbru	12676548 	12319840 	4881305 
Didexi	34389227 	33658318 	17770336 
Epityp	41438641 	41438625 	17187676 
Erypis	69261028 	69226675 	27120486 
Eurher	26209327 	26075740 	12721244 
Exoder	26372207 	26372207 	13583953 
Fusoxy	60011252 	60011252 	29030187 
Gaegra	40978577 	40978414 	23271986 
Geodes	28356969 	28356622 	14211371 
Gibmon	41794269 	41794269 	20340240 
Glaloz	38561775 	38561580 	17772446 
Glotra	37181821 	34432720 	18330179 
Glogra	50906596 	50906596 	24999938 
Grocla	29128742 	29128509 	15542061 
Hanval	11464179 	9686418 	2587304 
Hypbur	12403110 	12347660 	4319908 
Hyp_sp	46585682 	46575544 	18846571 
Klumar	10845407 	10845354 	4351401 
Kompas	9405451 	9405423 	3888506 
Lacklu	11536294 	11536189 	4798046 
Lipsta	21267709 	20680189 	9703198 
Lodelo	15460620 	15460620 	5711869 
Macpha	48882845 	48882833 	25579702 
Magory	40949933 	40949933 	21133314 
Marbru	51717277 	51717127 	22194640 
Mel_sp	58516921 	58370002 	27991614 
Metacr	38045938 	38045938 	18989475 
Metfru	24482224 	24478902 	11145172 
Meygui	10574537 	10574537 	4627705 
Mycpop	32109499 	32109336 	16157490 
Nadful	13746944 	13683021 	5371098 
Naucas	11242286 	11241965 	4142687 
Nechae	51230363 	51230360 	26017896 
Neofis	32542611 	32542611 	16086763 
Neogan	29675754 	29675738 	13956147 
Neucra	39225835 	39223435 	19333150 
Ogapar	8862525 	8862525 	4242018 
Oidmai	46426256 	46243984 	21785997 
Ophcla	15906360 	15905617 	7749407 
Pactan	12237881 	12237881 	3649031 
Parbra	29439257 	29439257 	13050161 
Pendig	25634646 	25633377 	12522829 
Peripo	35301553 	35301527 	17877696 
Phanod	37071111 	37071111 	18692570 
Pickud	10448518 	10448518 	4003865 
Pyrter	33578616 	33578276 	17095187 
Saccer	11906055 	11906054 	4558355 
Saicom	12981880 	12981671 	6816789 
Schjap	11011113 	11011113 	4808428 
Sclscl	38203946 	38203946 	15964542 
Settur	43014577 	38252408 	19676195 
Sormac	38391383 	38253120 	19932761 
Spapas	13079731 	13079730 	4888232 
Talmar	28467480 	28467480 	13285275 
Tapdef	13241258 	13241253 	6562527 
Thelan	19155516 	19155449 	10005494 
Thiter	36912256 	36912256 	20194439 
Triree	33348748 	33348438 	17616165 
Trirub	22127963 	22127963 	10683613 
Tubmel	123595685 	123595685 	55443764 
Uncree	22168071 	22168071 	10786680 
Vanpol	14661591 	14661490 	4841910 
Verdah	32974986 	32974986 	18395713 
Wicano	25465570 	25465566 	8796422 
Xanpar	31900637 	31799814 	15865507 
Zascel	38247703 	38198564 	20380844 
Zymard	31136334 	31136334 	16736408 
Agabis	30028778 	30028778 	13958823 
Amamus	40699759 	35829876 	17035492 
Aurdel	69053432 	69053342 	40484370 
Bjeadu	42730300 	40229611 	22054321 
Botbot	46674321 	45748674 	23992074 
Cersub	37873962 	37873940 	20363126 
Conput	41864241 	41864232 	21935408 
Copcin	36192590 	36192556 	18689911 
Croque	76567842 	59195068 	24310878 
Crygat	17161958 	17161958 	8202508 
Dac_sp	27600935 	27600911 	14416308 
Dicsqu	39457462 	39457434 	21922347 
Fibrad	28216918 	28216918 	14436151 
Fommed	56770801 	56770784 	23180990 
Fompin	41614358 	39599965 	22076748 
Galmar	59418196 	57882889 	27768882 
Ganluc	43121057 	43121057 	24219838 
Gymlux	66281680 	65218082 	29399289 
Hebcyl	38226047 	36208210 	17515523 
Hetirr	33649644 	33649644 	17573771 
Hydpin	38278792 	35273828 	17913428 
Hypsub	48031814 	46505895 	23734906 
Jaaarg	45045919 	43275237 	21536534 
Lacbic	58683330 	58682807 	27561558 
Malglo	8958118 	8958094 	4663561 
Mellar	97682699 	97682699 	40051967 
Micvio	25201507 	25201160 	13969941 
Mixosm	13393708 	13393708 	7425872 
Monper	26663261 	26638632 	12717284 
Mycthe	38744216 	38744216 	19935952 
Ompole	27923065 	27923065 	13231374 
Paxrub	53011005 	52978872 	25422341 
Phacar	43133528 	43133362 	22925108 
Phlbre	49963746 	46431975 	24140894 
Phlgig	30143925 	29699606 	16281536 
Pilcro	59326866 	52312419 	24212512 
Pirind	24979980 	24767878 	12553500 
Pismic	53027657 	47449613 	23231481 
Pleost	34343005 	34342914 	17496193 
Plicri	34498416 	33356897 	17914136 
Pospla	68983789 	68982930 	37132755 
Pucgra	81600488 	81600488 	35372676 
Punstr	33070072 	33070030 	18239636 
Rhotor	20054452 	20053995 	12418138 
Rhoglu	20303037 	20301881 	12559319 
Schcom	37930385 	37930385 	21808427 
Sclcit	56144862 	52726854 	25640117 
Sebver	38094242 	35468269 	17354871 
Serlac	42400076 	42400076 	19216448 
Sphste	176372157 	122311697 	54300275 
Sporos	21172659 	20840711 	11202531 
Stehir	45647489 	45647470 	23420436 
Suilut	37014302 	36933838 	17728749 
Traver	42885174 	42885162 	24738605 
Tremes	27987508 	27987508 	13079397 
Triasa	25047690 	25047689 	14904336 
Tulcal	62392858 	52040856 	26769441 
Usthor	21150702 	20132763 	10501941 
Walseb	9798416 	9798415 	3920395 
Wolcoc	50483556 	48243811 	25167749 
Concor	39903661 	31710747 	8769285 
Coerev	21838014 	20641734 	9325590 
Morelo	49959475 	48698202 	23434255 
Muccir	36587022 	36587022 	15428730 
Phybla	53939167 	53368881 	19096410 
Annalg	13823425 	13803782 	3511564 
Enccun	2288106 	2288106 	1073174 
Entbie	3859738 	3859221 	1300732 
Noscer	7860219 	7860219 	1986071 
Vitcor	3148737 	3148732 	1148380 
Edhaed	50748835 	50748798 	11401494 
Nempar	4029057 	4029056 	1386945 
Hamtva	13270809 	13270809 	3511098 
Vavcul	6033837 	6033822 	2398310 
Pir_sp	71019055 	42788547 	9335577 
Danrer	1400912823 	1400898531 	516227330 
Diclab	98228070 	98225540 	39532249 
Gadmor	608029870 	608021859 	276995647 
Gasacu	446610788 	446610788 	199167911 
Hapbur	698949643 	698949643 	283150800 
Labfue	69311711 	69087766 	29175082 
Lepocu	869401519 	869401519 	344186177 
Mayzeb	869401519 	869401519 	344186177 
Mchcon	71391535 	71200849 	29799674 
Melaur	66502931 	66300393 	27569761 
Neobri	685907315 	685907315 	277398685 
Orenil	816068047 	816068047 	329843026 
Orylat	700369883 	700369883 	283372189 
Punnye	698761080 	698761080 	283720960 
Rhaeso	69833323 	69616652 	29522476 
Salsal	2435040521 	2434978485 	1037633747 
Takrub	350961426 	350945394 	159544105 
Tetnig	342403326 	312394419 	145043985 
