Plaviv	493	10265	1434	1117	14157	652	22382	20144	5216	857	303	194	2197	5736	2122	1559	140	146
Babbov	87	620	214	124	1664	159	1585	1498	748	242	41	4	236	412	162	157	4	15
Thepar	12	630	55	78	793	62	1690	1531	188	65	4	1	71	228	164	58	1	8
Crypa1	1	92	1	4	71	2	187	154	24	1	1	1	16	36	20	8	1	1
Hamham	166	727	1013	233	3182	127	1896	1006	2725	210	327	26	344	1259	215	622	26	120
Toxgon	306	1055	1614	417	6234	232	2982	1473	4817	398	582	91	613	2536	550	936	62	201
Ichmul	1	5363	8	325	1876	26	10494	10824	138	24	8	1	464	741	446	41	12	1
Oxytri	487	101863	1269	14712	70761	1443	207265	202840	4616	2089	133	4	9505	17773	5554	3926	89	72
Partet	35	12005	83	2264	8679	137	27498	24549	349	382	1	1	1673	2328	1024	421	14	4
Stylem	1	96	2	8	55	1	193	180	4	1	1	1	6	13	2	4	1	1
Tetthe	24	14775	45	952	4160	73	28590	28603	237	43	4	1	997	1261	460	239	1	6
Permar	6676	48495	22274	13562	133628	7491	120304	81833	80992	10581	5204	353	12189	38505	10679	11898	463	1390
Enthis	25	16388	47	1080	13331	44	45331	43445	265	429	8	1	1992	3169	1878	240	17	1
Acacas	946	1941	7671	594	16294	1877	5928	3626	15156	1833	3996	503	667	5110	1352	3143	327	1549
Dicdis	97	18831	249	2122	7275	403	36335	32180	557	306	10	1	1197	1918	1020	151	1	16
Polpal	81	2975	159	587	2446	130	6865	5404	550	101	17	4	251	725	441	103	2	24
Guithe	1870	7417	7619	1551	37881	2510	15528	7518	21641	2969	3890	354	3103	14747	4284	6208	617	477
Leibra	505	712	4333	208	9586	493	1934	1374	9254	817	2153	357	504	3410	471	2259	221	644
Trycru	10095	98489	54604	13281	192592	4897	186195	78876	149336	12497	24525	9999	17936	71675	19399	51366	2613	7400
Gialam	309	436	2062	124	6584	340	1962	1921	6023	296	983	68	622	3200	883	1301	117	210
Emihux	14638	34068	250594	9985	281135	14317	74373	45334	488728	23190	159586	36397	9806	100286	15284	84424	6617	58739
Naegru	55	9915	169	1606	8833	269	21096	15177	669	372	29	1	897	2513	1413	430	12	1
Monbre	599	1648	2761	240	11787	638	4759	2287	6891	1096	1018	59	1067	3691	779	1543	62	282
Sal_sp	342	666	2893	241	13004	395	2460	1221	6278	897	1416	157	1232	6137	1184	2523	224	408
Allmac	1440	4257	10329	997	26319	1548	11799	4461	21919	4129	4886	1014	1643	8109	1452	3569	182	1442
Catang	1243	3986	9856	1374	39599	1514	15093	5214	23008	5476	4655	1023	3454	13515	3311	2670	106	1187
Gonpro	229	1530	875	378	4434	323	3921	2205	3014	347	264	12	334	1374	468	793	343	91
Batden	281	5303	675	1362	17160	292	17867	12317	2338	576	42	5	4085	6787	2630	1247	2	25
Hompol	10	63	145	33	1510	18	203	154	266	116	90	2	173	576	105	354	6	6
Spipun	99	1156	355	370	4126	348	2746	2066	1296	338	50	4	336	1284	385	473	2	28
Acitak	12	1274	140	286	1663	32	4274	7260	905	34	16	1	73	129	10	440	12	2
Aciric	330	2967	2044	669	5736	331	8510	8041	5514	456	728	31	552	1825	410	784	17	232
Acralc	216	775	761	188	271	97	2808	5508	2536	40	200	36	8	85	15	58	4	18
Ajecap	938	4853	3465	1543	13272	579	12472	10300	10090	1376	1026	120	1004	4123	787	2198	119	401
Altarb	1	8	1	1	10	1	19	24	7	2	1	1	2	4	2	2	1	1
Apimon	16	102	101	16	341	20	359	249	276	43	43	8	52	118	45	38	6	16
Artoli	1	15	2	1	5	1	31	29	11	2	1	1	2	4	2	1	1	1
Artben	1	36	38	8	66	20	88	82	115	16	22	4	8	38	4	4	1	12
Ascrub	27	1355	112	182	1337	30	3071	2185	344	133	18	1	152	345	105	89	4	10
Ascapi	1142	7865	4930	2100	25239	935	24374	11210	13945	1946	1405	94	2579	6951	1701	2379	70	528
Aspfum	26	666	211	237	1897	28	1780	1903	901	263	78	1	129	483	55	323	6	21
Aurpul	4	10	16	1	56	4	27	31	31	4	4	1	2	14	1	8	1	2
Babino	6	30	14	10	60	1	95	97	47	2	2	1	8	29	8	8	1	1
Baucom	1	9	11	2	72	2	36	34	48	10	6	1	6	17	4	16	1	6
Beabas	8	53	57	11	260	20	169	100	184	20	24	4	32	92	18	33	4	10
Blugra	4391	70623	18768	13465	126851	5052	165765	113744	61616	12009	5600	366	11320	33158	10186	13571	389	986
Botfuc	21	366	102	123	534	52	990	667	272	82	35	1	40	183	56	108	1	16
Canalb	112	1418	234	205	1322	40	3407	2807	621	89	58	1	141	365	206	87	1	14
Cerzea	186	1639	569	331	434	183	6317	10361	2027	6	192	28	344	325	81	270	6	4
Chathe	6	91	31	37	271	8	239	177	203	55	20	1	22	78	24	41	1	8
Clagra	291	2890	1315	621	7163	376	8214	5876	4179	596	357	33	739	1868	441	654	22	86
Clasph	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Clafus	43	6568	954	1322	566	224	11910	11461	1259	15	900	1	27	471	10	1203	1	1
Clalus	19	186	74	41	318	6	388	287	195	18	33	6	48	90	15	24	1	17
Cocpos	13	1171	95	192	1233	22	2650	1894	386	94	36	1	113	358	111	142	12	11
Coclun	2	38	20	7	111	6	138	203	114	12	8	1	1	32	14	33	4	1
Colglo	36	31	57	15	170	4	70	100	183	12	13	1	17	74	31	28	1	4
Conapo	8	192	46	52	125	16	894	1239	182	2	6	1	1	36	14	10	2	1
Cormil	1	190	11	19	13	4	392	485	14	1	2	1	1	13	13	1	1	1
Crypa2	64	540	422	178	1709	64	1594	1228	1265	194	141	6	119	438	41	249	4	31
Cybjad	225	1332	610	338	3252	263	3809	2679	1575	388	103	2	277	859	321	319	14	78
Dalesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Debhan	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dekbru	6	138	8	31	157	12	326	402	26	1	2	1	11	79	10	1	1	1
Didexi	54	406	509	120	1927	366	2665	3360	1039	149	303	104	38	711	146	790	31	109
Epityp	2	3031	21	278	576	127	14427	18523	233	12	8	1	31	414	139	60	7	6
Erypis	1430	37844	4909	5788	44669	2029	89377	75649	19178	3479	1033	109	4510	11458	4060	3310	105	245
Eurher	17	567	131	199	1506	45	1663	1261	647	132	46	1	210	363	77	134	1	26
Exoder	12	63	26	12	91	23	229	239	93	8	14	1	8	32	6	8	1	1
Fusoxy	3346	24662	17725	6793	77304	4500	71351	55213	54133	7639	6226	350	7228	21616	5852	8709	438	1193
Gaegra	177	932	932	99	1449	109	2321	2212	2356	174	422	19	144	440	74	163	20	96
Geodes	126	1477	517	520	4469	206	5006	4162	1947	330	170	2	432	1107	410	406	13	24
Gibmon	8	520	128	80	439	13	1243	1119	497	33	30	1	72	135	22	37	7	16
Glaloz	1	1	1	1	2	1	1	4	2	1	1	1	1	1	1	1	1	1
Glotra	567	2880	2275	687	10018	496	8488	5335	8412	914	623	35	1148	3050	1001	1228	70	248
Glogra	9	1396	133	295	337	106	6265	8234	341	29	40	13	14	145	27	32	1	14
Grocla	120	281	276	76	560	6	931	1416	661	50	77	8	66	209	14	72	2	38
Hanval	37	2430	83	235	1521	38	5154	4703	244	117	8	0	165	357	204	95	6	2
Hypbur	8	70	10	22	92	2	170	143	24	4	1	1	12	8	2	4	1	1
Hyp_sp	1	382	5	1	48	8	889	963	22	5	1	1	4	26	12	5	1	1
Klumar	34	105	56	32	221	35	311	271	147	47	2	1	21	51	12	20	1	2
Kompas	1	8	1	2	22	1	36	14	15	2	1	1	7	4	2	6	1	1
Lacklu	201	639	719	141	2016	162	1739	1182	1760	204	197	8	134	640	187	401	44	75
Lipsta	223	1453	619	279	2886	263	4393	3123	2006	337	174	35	233	834	189	326	2	66
Lodelo	91	939	243	134	1677	55	3132	2499	817	190	22	1	361	396	97	123	26	24
