"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	6614	120769	25918	22871	454417	7860	426604	263465	105482	15686	6404	766	50085	150561	33843	28951	1029	2255
"Leibra"	3981	7987	31389	2370	112242	4116	25676	19707	81192	6327	12240	1636	4913	32229	5279	21552	948	5510
"Trycru"	10607	131309	70637	17324	374577	6696	364802	158062	235589	16763	27270	6967	27306	103985	24800	57726	2859	7739
"Ectsil"	36965	130260	204547	25776	890762	39168	415577	242145	727592	58799	67652	8363	59287	255321	64020	66831	3832	24702
"Aurlim"	4089	82396	20396	15713	235789	9707	311131	231357	77814	13658	6504	606	19637	53026	11953	22452	835	1898
"Hypcat"	6875	35322	34005	8012	247874	9492	145789	144617	138944	17496	9542	937	11727	47756	10518	39935	2057	2435
"Aurano"	6765	20323	137496	6021	158872	4145	51139	21661	414577	19498	96122	38448	2691	30839	5103	10870	726	44476
"Blahom"	1497	25049	6412	10022	59421	1520	99391	43102	27149	3111	1606	243	4756	12229	3536	6618	247	849
"Nangad"	3696	30765	25130	5121	146119	4437	93441	53202	110147	10413	8928	1043	7702	35215	6946	9114	907	2239
"Fracyl"	11285	155814	23389	23392	248062	9703	603224	348569	73293	12417	2047	186	32908	57316	18173	13550	294	1273
"Psemul"	57755	333049	158194	69040	850739	38608	1218843	490708	508807	51309	26517	1509	75478	171715	55081	40945	1311	11262
"Phatri"	4530	35874	17866	7375	90042	5308	112755	43353	75301	7989	4186	394	4962	18781	5103	5695	194	1528
"Thapse"	2237	18307	9261	5294	111566	3694	87666	42826	34824	6609	1894	125	12235	23252	6290	8544	167	887
"Albcan"	3883	62895	10453	13818	134246	3783	218865	84722	43044	4321	1815	111	14061	34094	8833	7468	231	676
"Pytult"	5056	31111	23082	7233	202931	5881	118318	63277	70253	12619	7880	1911	12681	52796	8943	20174	589	3034
"Sappar"	11559	18639	70905	4771	269910	11664	67062	37639	172403	23124	30427	4566	12142	64497	11367	20731	456	11997
"Phyinf"	39727	165967	133858	33221	725115	34011	608363	527338	534604	45324	30289	2331	40863	179386	57011	73872	2602	11259
"Hyaara"	10901	79057	37245	15277	289228	11263	306122	255643	129897	13389	7703	669	19588	70944	20903	24188	582	2441
"Psecub"	9827	58325	108956	12715	301628	7607	207367	122188	271574	21547	51571	3879	13198	65935	10833	45609	4344	12990
"Gialam"	1101	7955	6005	1815	46689	1295	32631	29536	26034	2522	2021	140	3784	13174	2653	6179	285	421
"Permar"	10914	128089	39874	26307	343504	12345	348428	183722	167177	18764	9447	641	23267	78740	23191	21745	919	2499
"Stylem"	322	94639	1537	12852	63342	1192	342811	336177	5186	1611	438	17	7593	11016	2715	3529	99	110
"Oxytri"	759	266007	2052	27642	172067	2556	1009516	980266	7866	3930	229	4	17597	33410	9833	7297	174	77
"Partet"	523	321051	1326	36915	147787	2009	1403549	1150343	6459	4276	151	5	25319	30492	12790	5672	148	21
"Ichmul"	309	312427	809	10735	43019	328	1284159	1381411	4806	715	106	1	10580	11125	5683	1238	68	6
"Tetthe"	365	658045	831	27951	135431	1829	2513627	2495212	3564	2286	58	3	25664	31964	11853	5835	173	19
"Hamham"	8948	54092	63672	16638	256773	6131	135531	76082	223210	10022	24410	2690	26785	107143	17230	39591	1904	8095
"Toxgon"	7836	52637	46118	15585	253069	5805	131659	73652	180606	9146	15914	2151	27865	108001	18237	38066	1853	5425
"Crypa1"	537	40135	1069	4475	21070	826	147601	113844	3287	768	105	3	3386	5889	1661	968	23	48
"Babbov"	1121	10079	2794	2113	35950	2129	42421	40918	10609	2737	363	27	3284	7607	3101	2030	62	188
"Thepar"	490	29058	1221	2506	19316	917	110423	97209	6019	929	138	3	1097	3924	2208	899	26	98
"Plaviv"	1815	63881	6238	5491	102516	3252	231438	185005	30204	4628	1523	423	11317	35657	11415	7688	631	701
"Cyamer"	3321	11258	16156	3966	72841	4187	27057	11672	58310	4291	4783	540	6018	19528	2489	10096	377	1975
"Acacas"	8013	18289	69618	5560	179667	15865	74339	44096	173322	12722	32303	3622	5375	43798	9997	25071	2228	11427
"Polpal"	5196	90176	10943	11931	64572	3645	378533	325848	23280	2879	715	15	6366	14321	7011	3267	72	900
"Dicdis"	813	179983	1614	8953	47010	2283	726062	573680	3615	2173	61	4	6017	9667	5215	1124	31	54
"Enthis"	60	70336	116	3380	41180	172	359889	327658	757	1069	12	2	5667	8020	4569	843	22	3
"Guithe"	9326	66340	50062	15682	430847	13597	173167	79108	228728	26715	19392	2746	16433	105063	23500	50907	4699	3604
"Emihux"	16671	61269	341639	15667	451432	19383	141622	88370	938099	27415	198962	39278	12830	138710	22484	100667	7452	62994
"Phypat"	12080	1501378	52851	136649	1726089	32911	5406631	4029145	244318	69616	10508	697	169844	428455	180834	64525	2259	2888
"Lacsat"	115511	2816547	242946	304716	5326054	118683	10007207	8582617	1074445	265251	28078	2108	512870	1205604	488611	106764	4267	12524
"Sollyc"	31133	2321281	83544	223043	3251578	56232	8514808	6964069	416358	108790	10087	291	333905	746452	306897	76914	7411	4407
"Mimgut"	29578	999630	101537	94659	1193084	19282	4024094	2721335	441840	40233	18030	1313	117265	372716	114943	35587	789	8254
"Citlan"	10931	1256653	35566	95819	1220591	20518	4470771	3623425	150386	51644	7498	378	141297	293939	110591	30416	850	3256
"Cucsat"	10351	788822	37857	64930	770962	13444	2815763	2266728	168960	35614	6808	415	86455	175434	69960	24533	1074	3362
"Linusi"	31599	700200	104173	95750	1152859	27684	2578346	1819546	395065	63684	25305	1182	115688	244797	87954	61407	2006	10266
"Poptri"	29127	1347364	77367	118767	1926875	21561	5362548	4647148	320514	72187	15840	680	196367	446218	165790	72260	2778	4060
"Manesc"	23626	1496780	91312	132048	1803277	31336	5340264	4475646	385127	70426	16076	341	238973	429155	116954	83658	2774	7809
"Jatcur"	22847	1067880	73472	92150	1029126	21655	3909934	2990550	297357	49316	12522	1913	139041	242652	82628	43320	1428	4804
"Riccom"	18747	1144089	89332	116524	1311920	21981	4320025	3530582	308172	47596	31027	2818	150255	311837	109887	52441	2373	8134
"Betnan"	42312	1456649	154703	131300	2139548	43350	5268595	4324747	568959	105240	39521	1867	202063	522336	191608	90845	3676	11237
"Medtru"	30857	1188946	83801	103448	1530598	30804	4471397	3547532	283790	51742	17079	1463	186891	381686	162437	49112	1583	6417
"Lotjap"	12407	418952	37221	50397	615704	13661	1428884	1085519	158468	28647	7083	388	58122	139067	49168	21917	913	4124
"Cajcaj"	25290	1825953	71792	136897	2155852	44942	6628465	5546347	325183	96052	14117	1287	256593	520529	204688	46742	1416	5025
"Glymax"	45175	3177290	123639	287386	4399868	93124	11683539	9209953	584165	190034	23439	940	507024	1046843	367371	108003	3477	9562
"Pruper"	13201	623372	42745	62940	948724	17962	2239196	1539440	180647	46148	9157	346	95153	221176	76923	42305	1406	2305
"Maldom"	48531	2329495	185787	243704	3810012	69830	8421397	6284692	802234	167285	53932	1711	394223	912565	330042	133561	5314	10635
"Fraves"	19481	522951	65094	58546	909278	19451	1818677	1291338	274278	37859	15621	633	98300	218335	78884	43513	1893	5744
"Cansat"	33375	1667653	97898	151750	1948529	44743	6340559	5001896	435147	96068	21804	587	191449	450055	189980	58674	2114	4692
"Vitvin"	34592	1591638	72465	133594	2185884	38431	5521600	4471596	341166	118861	11602	383	223173	444940	164710	60959	2325	3973
"Citsin"	14203	1100770	51434	88656	1186178	26389	4077536	3155127	205456	46330	10912	406	138441	294213	103400	51809	1315	2973
