"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	17578.4027402508	132103.845252329	57798.7953688666	26575.2737263094	349524.09059588	17578.4027402508	528415.381009316	528415.381009316	231195.181475466	17578.4027402508	11627.3588028013	584.767692242876	26575.2737263094	87381.0226489699	26575.2737263094	17578.4027402508	884.059929522067	2906.83970070033
"Leibra"	8933.9686407556	14262.1876672586	50156.4489069124	4764.02582149303	106983.414567579	8933.9686407556	57048.7506690344	57048.7506690344	200625.79562765	8933.9686407556	16753.854547537	1399.08051864364	4764.02582149303	26745.8536418947	4764.02582149303	8933.9686407556	746.057657596886	4188.46363688424
"Trycru"	23365.785833223	75987.1737937938	100300.759921063	20337.5402752007	349206.443829924	23365.785833223	303948.695175175	303948.695175175	401203.039684251	23365.785833223	26844.9350421092	1796.22402158821	20337.5402752007	87301.6109574811	20337.5402752007	23365.785833223	1563.43033540911	6711.23376052729
"Ectsil"	53051.2384411462	138491.330690333	246337.959521993	39777.835815603	738817.128266444	53051.2384411461	553965.322761332	553965.322761332	985351.838087971	53051.2384411461	70753.8216303705	5080.52360770585	39777.835815603	184704.282066611	39777.835815603	53051.2384411461	3809.37825134498	17688.4554075926
"Aurlim"	11729.1509392882	84737.3619803879	39010.3492053499	17286.7808335537	229978.57575331	11729.1509392882	338949.447921552	338949.447921552	156041.3968214	11729.1509392882	7958.27650510711	405.880530563504	17286.7808335537	57494.6439383276	17286.7808335537	11729.1509392882	598.199120531017	1989.56912627678
"Hypcat"	20286.44278514	87198.9904860602	79238.022538537	21281.1363655366	332493.021243385	20286.44278514	348795.961944241	348795.961944241	316952.090154148	20286.44278514	19338.2418027837	1179.8868271891	21281.1363655366	83123.2553108462	21281.1363655366	20286.44278514	1237.73954513624	4834.56045069593
"Aurano"	17251.4929427407	6876.58342529028	185476.0971403	3321.76625232968	142853.315278716	17251.4929427407	27506.3337011611	27506.3337011611	741904.388561201	17251.4929427407	89595.1087903021	10819.8356053853	3321.76625232968	35713.3288196791	3321.76625232968	17251.4929427407	2083.3538806766	22398.7771975755
"Blahom"	3680.22489560215	26319.2491113783	12276.5219526733	5388.56882032175	71900.9139851464	3680.22489560215	105276.996445513	105276.996445513	49106.0878106934	3680.22489560215	2513.47913218284	128.651611838296	5388.56882032175	17975.2284962866	5388.56882032175	3680.22489560215	188.371114239352	628.36978304571
"Nangad"	8599.68966084581	20752.8152019618	41107.3842573903	6110.28358945176	116831.088255115	8599.68966084581	83011.2608078473	83011.2608078473	164429.537029561	8599.68966084581	12103.3109478792	890.899156851105	6110.28358945176	29207.7720637788	6110.28358945176	8599.68966084581	633.004993511396	3025.82773696981
"Fracyl"	9903.99483592032	170181.363560379	26197.0441057845	25242.9588383667	267080.472881827	9903.99483592032	680725.454241516	680725.454241516	104788.176423138	9903.99483592032	3885.80096089413	144.094969710263	25242.9588383667	66770.1182204569	25242.9588383667	9903.99483592032	367.264265528454	971.450240223533
"Psemul"	37790.42687863	296354.855371524	122744.114446164	58720.194131565	762897.783815354	37790.42687863	1185419.4214861	1185419.4214861	490976.457784654	37790.42687863	24320.7023544461	1204.73508176433	58720.194131565	190724.445953838	58720.194131565	37790.42687863	1871.96292080819	6080.17558861152
"Phatri"	5732.94920597732	26296.7597219289	21923.8062444571	6278.7217246349	96043.7454497159	5732.94920597732	105187.038887716	105187.038887716	87695.2249778285	5732.94920597732	5234.61749695988	312.459661816322	6278.7217246349	24010.936362429	6278.7217246349	5732.94920597732	342.205590217465	1308.65437423997
"Thapse"	6276.75478906879	36600.1648195745	22257.1461737531	8049.00031075022	114165.859581416	6276.75478906879	146400.659278298	146400.659278298	89028.5846950126	6276.75478906879	4894.72594869683	269.108423939579	8049.00031075022	28541.464895354	8049.00031075022	6276.75478906879	345.091350659012	1223.68148717421
"Albcan"	5798.06090772477	53586.9158338653	17982.8177188202	10008.8293189669	124170.446696734	5798.06090772477	214347.663335461	214347.663335461	71931.2708752806	5798.06090772477	3358.78545016054	156.836373984976	10008.8293189669	31042.6116741836	10008.8293189669	5798.06090772477	270.736807219445	839.696362540135
"Pytult"	11384.5449360277	34595.5378788932	50048.8632097158	9465.17418334665	166443.616541687	11384.5449360277	138382.151515573	138382.151515573	200195.452838863	11384.5449360277	13693.1302995427	936.5937874282	9465.17418334665	41610.9041354219	9465.17418334665	11384.5449360277	778.689300877885	3423.28257488568
"Sappar"	15160.6158244898	22490.597144474	87709.4399749122	7677.04642532763	177657.543841771	15160.6158244898	89962.3885778961	89962.3885778961	350837.759899649	15160.6158244898	29939.1536072367	2554.89294816528	7677.04642532763	44414.3859604428	7677.04642532763	15160.6158244898	1293.74901401586	7484.78840180918
"Phyinf"	48193.232113922	171746.666451544	200438.531174781	44610.7583432957	742155.235057601	48193.232113922	686986.665806178	686986.665806178	801754.124699125	48193.232113922	52063.3969885295	3380.8336277689	44610.7583432957	185538.8087644	44610.7583432957	48193.232113922	3129.51726522026	13015.8492471324
"Hyaara"	15208.0549139962	85171.0514227429	54601.1537181754	18994.1020323536	272776.470277678	15208.0549139962	340684.205690972	340684.205690972	218404.614872702	15208.0549139962	12176.6711515588	678.88364181144	18994.1020323536	68194.1175694195	18994.1020323536	15208.0549139962	847.891806913124	3044.1677878897
"Psecub"	18095.400912907	44941.0546833966	85580.0938926475	13113.0422469587	248066.432374546	18095.400912907	179764.218733587	179764.218733587	342320.37557059	18095.400912907	24970.8288917301	1821.51674290706	13113.0422469587	62016.6080936364	13113.0422469587	18095.400912907	1319.98324426434	6242.70722293252
