"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	-0.239069384539432	0.28642915090682	-0.226771327106017	-0.138132089696535	-0.260704350603392	-0.0566846936752385	0.0538608275418332	-0.119010464155784	-0.158285475898773	-0.173830696425297	-0.206698935576392	0.889009506579044	-0.173094974206909	-0.0842096349742069	-0.206171227231539	-0.161390422370873	-0.0350498293320793	0.181268392350249
"Leibra"	-0.174429210834649	-0.156016931690925	0.00224859605366393	-0.380324456199254	-0.218677603970553	0.380701499803043	-0.304552891946763	-0.262289859890989	-0.184593210592707	0.053779211285209	0.058596854341834	0.448946893790677	-0.231321602339709	-0.286722376486796	-0.241199522773032	-0.0359310224511566	0.014625522534957	0.752219813853502
"Trycru"	-0.330037976675022	0.706062596231041	-0.0987050239666961	-0.185912125774311	-0.36099707753084	-0.259629506133951	0.227608539399139	-0.103400168357055	-0.0698267640152736	-0.312422636584305	0.148204822356657	2.64636753233987	-0.309140595909787	-0.426731198805746	-0.323197110441067	0.362538894101008	0.622555969112616	0.119907951999296
"Ectsil"	-0.141975649319657	0.0580406363610381	0.0579577326753947	-0.339796082026662	-0.0925050664312002	0.290778609651934	-0.12532186214039	-0.346002783788122	0.0813660141186494	0.262144801327869	0.255344430917373	0.98072622823664	0.137585733654917	-0.0947688998728495	0.0186436894578824	-0.151352397902149	0.0252544067153695	0.448054340241081
"Aurlim"	-0.198127006209656	0.0697895805901779	-0.115796515520904	-0.18236645650487	-0.235437260043208	1.25037090978813	0.0719877841027069	0.026462903493093	-0.0657872781409821	0.446514130674508	0.00469389145579741	0.672135619035075	-0.291516823580767	-0.379134341663644	-0.366907820975572	-0.162979619829485	0.0167483067301624	0.537729279549431
"Hypcat"	0.171957144105494	-0.454611970038687	0.204944636611968	-0.674177554923795	-0.150993814897916	0.560732652630174	-0.294371732244707	-0.192386203477485	0.02268551446257	0.572769849248612	0.142259819856223	1.66798652515852	-0.238644854459599	-0.212537594532985	-0.165647125248612	-0.181979053138711	0.105838111945729	0.980852275521836
"Aurano"	-0.297909499314146	0.694942177954916	-0.0168631632623811	-0.0868321780494287	0.612238527609131	-0.001106830218008	0.654814933900769	0.132388020539637	-0.0106631345320352	3.2030618032849	0.263596326217144	1.35597784573461	-0.0498005086418186	-0.062293046728513	1.25213183208328	-0.237271928568665	0.0821079422933966	0.593013643746559
"Blahom"	-0.285790838762506	-0.157545484389211	-0.182555435626006	0.153284593923282	-0.423522946515105	0.163336659487827	-0.010728989431379	-0.300213438680579	-0.211792104449701	-0.0530095209544854	-0.122445327953147	1.26029192156599	-0.47243888767618	-0.479032217162888	-0.436270193850848	0.434815307181018	0.680233829854154	0.678490796361631
"Nangad"	-0.257871598957236	0.27874408871671	-0.116834173992373	-0.395258287949918	-0.0202939634038118	0.248537896777068	0.157868180434615	0.0238391276198355	-0.0816935892533788	0.209666135999248	-0.0725347512971852	0.515299124547804	-0.0827952499735845	-0.00470548789530382	0.121646532868613	-0.330176530416115	0.154939367881914	0.054937299056634
"Fracyl"	0.5098156570817	0.195032765666879	0.269046914351207	-0.139686246305802	-0.441108289860277	0.476868548481372	0.0851709047761402	-0.197858983059885	0.0115216268093389	0.0818390520680279	-0.157541515739524	1.18925573093965	-0.260117462462512	-0.492312289761931	-0.603079307137006	0.0773562006709117	-0.0960469028411907	0.439500034429573
