"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	0.000192311486140984	0.00144524432514234	0.000632331184965602	0.000290739179231997	0.00382386831715124	0.000192311486140984	0.00578097730056935	0.00578097730056935	0.00252932473986241	0.000192311486140984	0.000127205792488816	6.39748363968003e-06	0.000290739179231997	0.00095596707928781	0.000290739179231997	0.000192311486140984	9.67180473654666e-06	3.1801448122204e-05
"Leibra"	0.000310537168647287	0.000495741540517895	0.00174339560158089	0.000165593494835	0.00371865270496685	0.000310537168647287	0.00198296616207158	0.00198296616207158	0.00697358240632355	0.000310537168647287	0.000582349766864705	4.86308515777853e-05	0.000165593494835	0.000929663176241714	0.000165593494835	0.000310537168647287	2.59323310785843e-05	0.000145587441716176
"Trycru"	0.00026074288246615	0.000847954135455549	0.00111927368683563	0.000226950161722672	0.00389685565852029	0.00026074288246615	0.0033918165418222	0.0033918165418222	0.00447709474734252	0.00026074288246615	0.000299567315752059	2.0044377376682e-05	0.000226950161722672	0.000974213914630073	0.000226950161722671	0.00026074288246615	1.74465919999132e-05	7.48918289380148e-05
"Ectsil"	0.00027760119943705	0.000724683544455236	0.00128901256671028	0.00020814546951004	0.00386600816489762	0.00027760119943705	0.00289873417782094	0.00289873417782094	0.00515605026684111	0.00027760119943705	0.000370233501167661	2.65848543541922e-05	0.00020814546951004	0.000966502041224406	0.00020814546951004	0.00027760119943705	1.99333324302303e-05	9.25583752919154e-05
"Aurlim"	0.000195517275131493	0.00141251640480993	0.000650277007946909	0.000288159330702316	0.00383359244864809	0.000195517275131493	0.00565006561923973	0.00565006561923973	0.00260110803178763	0.000195517275131493	0.000132659264517569	6.76576299303014e-06	0.000288159330702316	0.000958398112162022	0.000288159330702316	0.000195517275131493	9.97158810877896e-06	3.31648161293922e-05
"Hypcat"	0.000238264320542212	0.00102415235831029	0.000930650770133166	0.000249946999097098	0.00390513135450304	0.000238264320542212	0.00409660943324116	0.00409660943324116	0.00372260308053266	0.000238264320542212	0.000227127697665969	1.38577736951913e-05	0.000249946999097098	0.000976282838625759	0.000249946999097098	0.000238264320542212	1.45372540101577e-05	5.67819244164921e-05
"Aurano"	0.000339118487805159	0.000135175348602611	0.00364596697775589	6.52970935368387e-05	0.00280811639990015	0.000339118487805159	0.000540701394410445	0.000540701394410445	0.0145838679110236	0.000339118487805159	0.00176120164837624	0.000212689203246183	6.52970935368387e-05	0.000702029099975038	6.52970935368387e-05	0.000339118487805159	4.09531986549229e-05	0.00044030041209406
"Blahom"	0.000196344580519281	0.00140416471083909	0.000654967731975794	0.000287486856004283	0.00383600328671127	0.000196344580519281	0.00561665884335638	0.00561665884335638	0.00261987092790318	0.000196344580519281	0.000134097241296896	6.86372367887224e-06	0.000287486856004283	0.000959000821677817	0.000287486856004283	0.000196344580519281	1.00498334901959e-05	3.35243103242241e-05
"Nangad"	0.000283368557234122	0.000683826455866303	0.0013545302944734	0.000201340084737893	0.00384970367822415	0.000283368557234122	0.00273530582346521	0.00273530582346521	0.0054181211778936	0.000283368557234122	0.000398816456909117	2.93560370983392e-05	0.000201340084737893	0.000962425919556038	0.000201340084737893	0.000283368557234122	2.08581610276012e-05	9.97041142272793e-05
"Fracyl"	0.000129967468562958	0.00223324440137186	0.00034377678529399	0.000331256580159213	0.00350482543035609	0.000129967468562958	0.00893297760548745	0.00893297760548745	0.00137510714117596	0.000129967468562958	5.09923240665736e-05	1.89091964971312e-06	0.000331256580159213	0.000876206357589022	0.000331256580159213	0.000129967468562958	4.81951047785777e-06	1.27480810166434e-05
"Psemul"	0.000188865232777918	0.00148109278903807	0.000613438313926622	0.000293465939642347	0.00381273458457604	0.000188865232777918	0.00592437115615226	0.00592437115615226	0.00245375325570649	0.000188865232777918	0.000121547584689825	6.02090503989019e-06	0.000293465939642347	0.00095318364614401	0.000293465939642347	0.000188865232777918	9.35550990004818e-06	3.03868961724562e-05
"Phatri"	0.000232927174812817	0.00106842564423457	0.000890754490610291	0.000255101669352005	0.00390221463373841	0.000232927174812817	0.00427370257693829	0.00427370257693829	0.00356301796244116	0.000232927174812817	0.000212680179255966	1.26950970006784e-05	0.000255101669352005	0.000975553658434603	0.000255101669352005	0.000232927174812817	1.39036608333107e-05	5.31700448139916e-05
"Thapse"	0.000213109846683214	0.00124265735645172	0.000755679832666862	0.000273281541149962	0.00387618596702621	0.000213109846683214	0.00497062942580688	0.00497062942580688	0.00302271933066745	0.000213109846683214	0.000166186880248972	9.13683215199066e-06	0.000273281541149962	0.000969046491756551	0.000273281541149962	0.000213109846683214	1.1716622251792e-05	4.15467200622429e-05
"Albcan"	0.000175749500476388	0.00162431437678149	0.000545091071228638	0.000303385352647516	0.00376382627367821	0.000175749500476388	0.00649725750712596	0.00649725750712596	0.00218036428491455	0.000175749500476388	0.00010181073887765	4.75398841493094e-06	0.000303385352647516	0.000940956568419552	0.000303385352647516	0.000175749500476388	8.20651238175098e-06	2.54526847194124e-05
"Pytult"	0.000266047100796263	0.000808468200080586	0.00116959922683916	0.000221193044092781	0.00388964529331568	0.000266047100796263	0.00323387280032235	0.00323387280032235	0.00467839690735664	0.000266047100796263	0.000319996770840622	2.18873976227642e-05	0.000221193044092781	0.00097241132332892	0.000221193044092781	0.000266047100796263	1.81973045109624e-05	7.99991927101554e-05
"Sappar"	0.000314685615571876	0.000466832448557614	0.00182056582855852	0.000159350788127328	0.00368759911813916	0.000314685615571876	0.00186732979423046	0.00186732979423046	0.00728226331423409	0.000314685615571876	0.000621440520072758	5.30313589778397e-05	0.000159350788127328	0.000921899779534791	0.000159350788127328	0.000314685615571876	2.68540677756268e-05	0.00015536013001819
"Phyinf"	0.000253470515029967	0.000903295215752447	0.00105419901301962	0.000234628627240091	0.00390333790474065	0.000253470515029967	0.00361318086300979	0.00361318086300979	0.00421679605207847	0.000253470515029967	0.000273825503500107	1.77813689448246e-05	0.000234628627240091	0.000975834476185163	0.000234628627240091	0.000253470515029967	1.64595798666386e-05	6.84563758750267e-05
"Hyaara"	0.000216443921949081	0.0012121705576891	0.000777093975563578	0.000270327662612531	0.00388220646073492	0.000216443921949081	0.00484868223075642	0.00484868223075642	0.00310837590225431	0.000216443921949081	0.000173300693299185	9.66200074971531e-06	0.000270327662612531	0.000970551615183729	0.000270327662612531	0.000216443921949081	1.20673570101244e-05	4.33251733247962e-05
"Psecub"	0.000281278072397164	0.000698571603562809	0.00133027192719021	0.000203831419057219	0.00385598795299332	0.000281278072397164	0.00279428641425124	0.00279428641425124	0.00532108770876083	0.000281278072397164	0.00038815092578664	2.83139744043256e-05	0.000203831419057219	0.00096399698824833	0.000203831419057219	0.000281278072397164	2.05180501018026e-05	9.70377314466599e-05
"Gialam"	0.00023678017940504	0.00103636057631486	0.000919390297760347	0.000251391638751913	0.00390449967877106	0.00023678017940504	0.00414544230525946	0.00414544230525946	0.00367756119104139	0.00023678017940504	0.00022301797162956	1.35244563138538e-05	0.000251391638751913	0.000976124919692766	0.000251391638751913	0.00023678017940504	1.4359036489082e-05	5.575449290739e-05
"Permar"	0.000218344493999708	0.00119501546492278	0.000789524288554196	0.000268624895833789	0.00388534422620065	0.000218344493999708	0.00478006185969111	0.00478006185969111	0.00315809715421678	0.000218344493999708	0.000177475426884808	9.97357763547214e-06	0.000268624895833789	0.000971336056550161	0.000268624895833789	0.000218344493999708	1.22702945439169e-05	4.43688567212019e-05
"Stylem"	7.94798682844413e-05	0.00324225591181093	0.000174479137736679	0.000342617096981111	0.00300853722812777	7.94798682844413e-05	0.0129690236472437	0.0129690236472437	0.000697916550946716	7.94798682844413e-05	1.84376364115315e-05	4.8708751208536e-07	0.000342617096981111	0.000752134307031942	0.000342617096981111	7.94798682844413e-05	2.09970792564973e-06	4.60940910288287e-06
"Oxytri"	7.11441041413149e-05	0.00347000686117241	0.00015096760359946	0.00034108467047275	0.0028951231277578	7.11441041413149e-05	0.0138800274446896	0.0138800274446896	0.000603870414397841	7.11441041413149e-05	1.4839375651374e-05	3.6465947738502e-07	0.00034108467047275	0.000723780781939451	0.00034108467047275	7.11441041413149e-05	1.74827920289188e-06	3.70984391284351e-06
"Partet"	5.01323024422562e-05	0.0041850322441705	9.686753756841e-05	0.000329517076096756	0.00254682160549087	5.01323024422562e-05	0.016740128976682	0.016740128976682	0.00038747015027364	5.01323024422562e-05	7.62706375624637e-06	1.50133117353077e-07	0.000329517076096756	0.000636705401372717	0.000329517076096756	5.01323024422562e-05	9.868173501997e-07	1.90676593906159e-06
"Ichmul"	7.08777918963468e-06	0.0078106754966068	1.0024804103941e-05	0.000197841105126412	0.00111928900127132	7.08777918963468e-06	0.0312427019864272	0.0312427019864272	4.00992164157638e-05	7.08777918963468e-06	2.53924045808981e-07	1.60794715715826e-09	0.000197841105126412	0.000279822250317831	0.000197841105126412	7.08777918963468e-06	4.4882611893763e-08	6.34810114522453e-08
"Tetthe"	2.33862486088548e-05	0.00569039390276879	3.87524718976529e-05	0.000283388369418076	0.00187836878084629	2.33862486088548e-05	0.0227615756110751	0.0227615756110751	0.000155009887590612	2.33862486088548e-05	1.92991908989853e-06	2.4028065250854e-08	0.000283388369418076	0.000469592195211572	0.000283388369418076	2.33862486088548e-05	2.91165733572697e-07	4.82479772474632e-07
"Hamham"	0.000274970353727515	0.000743518068651459	0.00126052110601758	0.000211181842638779	0.00387240538836645	0.000274970353727515	0.00297407227460584	0.00297407227460584	0.00504208442407032	0.000274970353727515	0.000358026497374405	2.54226153394526e-05	0.000211181842638779	0.000968101347091612	0.000211181842638779	0.000274970353727515	1.95249948923685e-05	8.95066243436013e-05
"Toxgon"	0.00026578786475691	0.000810381927672401	0.00116707908865835	0.000221477635354521	0.0038900484348925	0.00026578786475691	0.0032415277106896	0.0032415277106896	0.00466831635463339	0.00026578786475691	0.000318963081482058	2.17931775869375e-05	0.000221477635354521	0.000972512108723125	0.000221477635354521	0.00026578786475691	1.81599767289247e-05	7.97407703705146e-05
"Crypa1"	6.34813417833724e-05	0.00370374340774999	0.000130387411902246	0.000338336389871202	0.00277970219206742	6.34813417833724e-05	0.014814973631	0.014814973631	0.000521549647608984	6.34813417833724e-05	1.19108699958389e-05	2.72014034921056e-07	0.000338336389871202	0.000694925548016855	0.000338336389871202	6.34813417833724e-05	1.44975269873068e-06	2.97771749895972e-06
"Babbov"	0.000159615518784892	0.00181722780932873	0.000468037272342487	0.000314513709659475	0.0036889680879143	0.000159615518784892	0.00726891123731491	0.00726891123731491	0.00187214908936995	0.000159615518784892	8.10047799332953e-05	3.50494221282873e-06	0.000314513709659475	0.000922242021978575	0.000314513709659475	0.000159615518784892	6.90629824650356e-06	2.02511949833238e-05
"Thepar"	9.13079044847169e-05	0.00295682182482228	0.000209896796961843	0.000342703111698665	0.00315119642096031	9.13079044847169e-05	0.0118272872992891	0.0118272872992891	0.00083958718784737	9.13079044847169e-05	2.43275684894304e-05	7.04906645997455e-07	0.000342703111698665	0.000787799105240077	0.000342703111698665	9.13079044847169e-05	2.64570414142876e-06	6.08189212235759e-06
"Plaviv"	0.00016633334664144	0.00173445787481083	0.000499237799659545	0.000310032679447526	0.00372216481746358	0.00016633334664144	0.00693783149924332	0.00693783149924332	0.00199695119863818	0.00016633334664144	8.92382772494933e-05	3.98781408974246e-06	0.000310032679447526	0.000930541204365894	0.000310032679447526	0.00016633334664144	7.43298149376275e-06	2.23095693123733e-05
"Cyamer"	0.000289679752381714	0.000639691639502104	0.00143166964271315	0.000193634201891563	0.00382795423373388	0.000289679752381714	0.00255876655800842	0.00255876655800842	0.00572667857085262	0.000289679752381714	0.000433365377191597	3.27948474538626e-05	0.000193634201891563	0.00095698855843347	0.000193634201891563	0.000289679752381714	2.19214634805284e-05	0.000108341344297899
"Acacas"	0.000314602625714293	0.000467414180629547	0.00181895273400274	0.000159478660055268	0.0036882609490496	0.000314602625714293	0.00186965672251819	0.00186965672251819	0.00727581093601097	0.000314602625714293	0.000620614771104971	5.29374247765768e-05	0.000159478660055268	0.0009220652372624	0.000159478660055268	0.000314602625714293	2.68350893479573e-05	0.000155153692776243
"Polpal"	7.63029549872702e-05	0.00332614725402369	0.000165379103790591	0.000342193516129479	0.00296668232730362	7.63029549872702e-05	0.0133045890160948	0.0133045890160948	0.000661516415162366	7.63029549872702e-05	1.70141766730215e-05	4.37603967529268e-07	0.000342193516129479	0.000741670581825904	0.000342193516129479	7.63029549872702e-05	1.96250905808343e-06	4.25354416825538e-06
"Dicdis"	2.38060362219462e-05	0.00565640237054341	3.95664380861133e-05	0.000284638577435475	0.00189231580528938	2.38060362219462e-05	0.0226256094821737	0.0226256094821737	0.000158265752344453	2.38060362219462e-05	1.99104199334711e-06	2.50480483651558e-08	0.000284638577435475	0.000473078951322346	0.000284638577435475	2.38060362219462e-05	2.99488784597424e-07	4.97760498336777e-07
"Enthis"	3.11965761342449e-05	0.00513250859675436	5.44317255908793e-05	0.000302932398693164	0.00211422344904738	3.11965761342449e-05	0.0205300343870174	0.0205300343870174	0.000217726902363517	3.11965761342449e-05	3.21268496436233e-06	4.74050040128125e-08	0.000302932398693164	0.000528555862261845	0.000302932398693164	3.11965761342449e-05	4.60323322465397e-07	8.03171241090581e-07
"Guithe"	0.000273284039770731	0.000755661796477492	0.00124268354806673	0.000213107006087156	0.0038761805579929	0.000273284039770731	0.00302264718590997	0.00302264718590997	0.00497073419226694	0.000273284039770731	0.000350453829579241	2.47081984101717e-05	0.000213107006087156	0.000969045139498224	0.000213107006087156	0.000273284039770731	1.92674632350156e-05	8.76134573948103e-05
"Emihux"	0.000342480884455301	0.000217013719375917	0.00290604780488143	9.35898075980382e-05	0.00317654464554563	0.000342480884455301	0.000868054877503667	0.000868054877503667	0.0116241912195257	0.000342480884455301	0.00125326848326317	0.000135121821508099	9.35898075980382e-05	0.000794136161386407	9.35898075980382e-05	0.000342480884455301	3.6924762377183e-05	0.000313317120815793
"Phypat"	8.7775640952372e-05	0.00303799243129488	0.000199063061333117	0.000342903575731807	0.0031106322795995	8.77756409523719e-05	0.0121519697251795	0.0121519697251795	0.000796252245332468	8.77756409523719e-05	2.24685996002142e-05	6.34017638196996e-07	0.000342903575731807	0.000777658069899874	0.000342903575731807	8.77756409523719e-05	2.47684793703475e-06	5.61714990005355e-06
"Lacsat"	0.000114544156885319	0.00249126115128657	0.000286862200193406	0.000337556056979531	0.0033814757845992	0.000114544156885319	0.00996504460514629	0.00996504460514629	0.00114744880077362	0.000114544156885319	3.88686963403061e-05	1.31663875039683e-06	0.000337556056979531	0.0008453689461498	0.000337556056979531	0.000114544156885319	3.8800703338834e-06	9.71717408507652e-06
"Sollyc"	9.13697997787106e-05	0.00295542780788186	0.00021008861043773	0.000342698021088678	0.0031518926920996	9.13697997787106e-05	0.0118217112315275	0.0118217112315275	0.00084035444175092	9.13697997787106e-05	2.43609236058045e-05	7.06195587770501e-07	0.000342698021088678	0.000787973173024899	0.000342698021088678	9.13697997787106e-05	2.64870702372816e-06	6.09023090145112e-06
"Mimgut"	0.000103128423988102	0.00270656863531167	0.000247787201917541	0.00034083836043009	0.00327573642148853	0.000103128423988102	0.0108262745412467	0.0108262745412467	0.000991148807670164	0.000103128423988102	3.1203858101093e-05	9.82375958945988e-07	0.000340838360430091	0.000818934105372133	0.00034083836043009	0.000103128423988102	3.24674224840009e-06	7.80096452527326e-06
"Citlan"	8.21989337601795e-05	0.00317305431681244	0.000182405296136404	0.000342835839000701	0.00304310870608349	8.21989337601795e-05	0.0126922172672498	0.0126922172672498	0.000729621184545617	8.21989337601795e-05	1.97081633326455e-05	5.3234707293775e-07	0.000342835839000701	0.000760777176520872	0.000342835839000701	8.21989337601795e-05	2.22031657883371e-06	4.92704083316138e-06
"Cucsat"	8.97668648292667e-05	0.00299183949384044	0.000205143105191911	0.000342812571863521	0.00313370131059671	8.97668648292667e-05	0.0119673579753618	0.0119673579753618	0.000820572420767643	8.97668648292667e-05	2.35058182886125e-05	6.7333909772447e-07	0.000342812571863521	0.000783425327649178	0.000342812571863521	8.97668648292667e-05	2.57142887039908e-06	5.87645457215312e-06
"Linusi"	0.000139117805805924	0.00209492041016923	0.000379934707139565	0.00032667206595046	0.00356860302643674	0.000139117805805924	0.00837968164067692	0.00837968164067692	0.00151973882855826	0.000139117805805924	5.92452367665551e-05	2.30960610702763e-06	0.00032667206595046	0.000892150756609186	0.00032667206595046	0.000139117805805924	5.42334458298643e-06	1.48113091916388e-05
"Poptri"	8.87674761410705e-05	0.00301487358522327	0.000202082791169039	0.000342865477965074	0.00312218915281884	8.87674761410705e-05	0.0120594943408931	0.0120594943408931	0.000808331164676157	8.87674761410705e-05	2.29817970220326e-05	6.53399271786713e-07	0.000342865477965073	0.00078054728820471	0.000342865477965073	8.87674761410705e-05	2.52376279423732e-06	5.74544925550815e-06
"Manesc"	0.000101510773633267	0.00273904161146573	0.00024245036127276	0.00034119293902771	0.00325964814847489	0.000101510773633267	0.0109561664458629	0.0109561664458629	0.000969801445091039	0.000101510773633267	3.0201202853109e-05	9.40514842900667e-07	0.00034119293902771	0.000814912037118723	0.00034119293902771	0.000101510773633267	3.16121148487928e-06	7.55030071327724e-06
"Jatcur"	9.32913933771539e-05	0.0029126163119515	0.000216077702735974	0.000342513931966753	0.00317326693900858	9.3291393377154e-05	0.011650465247806	0.011650465247806	0.000864310810943895	9.3291393377154e-05	2.54100147934878e-05	7.47033177914493e-07	0.000342513931966753	0.000793316734752145	0.000342513931966753	9.32913933771539e-05	2.74268892139596e-06	6.35250369837196e-06
"Riccom"	8.96897821666759e-05	0.00299360691682458	0.000204906434047329	0.000342817164378269	0.00313281807519286	8.96897821666759e-05	0.0119744276672983	0.0119744276672983	0.000819625736189316	8.96897821666759e-05	2.3465152451438e-05	6.71786347423879e-07	0.000342817164378269	0.000783204518798215	0.000342817164378269	8.96897821666759e-05	2.56773832122714e-06	5.86628811285951e-06
"Betnan"	0.000122511327885921	0.00235374512965098	0.000315650544605673	0.000334543574470408	0.00344780726152094	0.000122511327885921	0.00941498051860393	0.00941498051860393	0.00126260217842269	0.000122511327885921	4.48641869273124e-05	1.59416426095773e-06	0.000334543574470408	0.000861951815380235	0.000334543574470408	0.000122511327885921	4.35320895917792e-06	1.12160467318281e-05
"Medtru"	8.89105254293017e-05	0.00301156063328379	0.000202519750676654	0.000342858791870501	0.00312384508860541	8.89105254293017e-05	0.0120462425331352	0.0120462425331352	0.000810079002706617	8.89105254293017e-05	2.30563769095362e-05	6.56227990626147e-07	0.000342858791870501	0.000780961272151353	0.000342858791870501	8.89105254293017e-05	2.53056131398744e-06	5.76409422738406e-06
"Lotjap"	0.000129648524622405	0.00223824904562601	0.000342549539447531	0.000331405787888326	0.00350248181665074	0.000129648524622405	0.00895299618250405	0.00895299618250405	0.00137019815779013	0.000129648524622405	5.07195123050488e-05	1.87744299161145e-06	0.000331405787888326	0.000875620454162685	0.000331405787888326	0.000129648524622405	4.79909413286826e-06	1.26798780762622e-05
"Cajcaj"	8.84434206834859e-05	0.00302239841658478	0.000201094266188082	0.000342879518559492	0.00311842778774469	8.84434206834859e-05	0.0120895936663391	0.0120895936663391	0.000804377064752329	8.84434206834859e-05	2.28133739077181e-05	6.47022462299573e-07	0.000342879518559492	0.000779606946936172	0.000342879518559492	8.84434206834859e-05	2.50839179054817e-06	5.70334347692954e-06
"Glymax"	9.70377585485583e-05	0.00283165359561853	0.000227945334387588	0.000342015244788155	0.0032136265513543	9.70377585485583e-05	0.0113266143824741	0.0113266143824741	0.000911781337550351	9.70377585485583e-05	2.75318914218599e-05	8.31345207505107e-07	0.000342015244788155	0.000803406637838574	0.000342015244788155	9.70377585485583e-05	2.93012471538114e-06	6.88297285546497e-06
"Pruper"	0.000120257473099288	0.00239168253811408	0.000307376259052124	0.00033545068267751	0.00342962722500459	0.000120257473099288	0.00956673015245631	0.00956673015245631	0.0012295050362085	0.000120257473099288	4.31117317180396e-05	1.51168263406206e-06	0.00033545068267751	0.000857406806251148	0.00033545068267751	0.000120257473099288	4.21674394546092e-06	1.07779329295099e-05
"Maldom"	0.000125170448459037	0.0023099111747826	0.000325547362600533	0.000333420545349419	0.00346868387903417	0.000125170448459037	0.00923964469913039	0.00923964469913039	0.00130218945040213	0.000125170448459037	4.69906290598169e-05	1.6956973647386e-06	0.000333420545349419	0.000867170969758543	0.000333420545349419	0.000125170448459037	4.51688355405824e-06	1.17476572649542e-05
