"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	-0.623742833877885	-0.0858025383793987	-0.551582349863977	-0.139387980137422	0.300102088028598	-0.552860398288506	-0.192673008145312	-0.501405505084352	-0.543753466976156	-0.107654988238359	-0.449230035074077	0.309921888916277	0.884646627380404	0.723040031298774	0.27347700529969	0.646964199637338	0.16394824110656	-0.224243428539691
"Leibra"	-0.554397361342954	-0.439987736359999	-0.374178182784506	-0.502521588084665	0.0491532772035376	-0.539286495676362	-0.549928794252514	-0.65455860524748	-0.59530627780942	-0.291804095759073	-0.269421853623563	0.169339418424641	0.0312706488354603	0.205009211204106	0.108096428903398	1.41236575441765	0.270679270357719	0.315518165534042
"Trycru"	-0.546045655142559	0.728041634451794	-0.295748107436158	-0.148176241296761	0.0726520275279684	-0.713427143097443	0.200209133287291	-0.479971447454631	-0.412793581560574	-0.282583512506337	0.0158340840543695	2.87869214322154	0.342640242158314	0.191100586341348	0.219419834670996	1.47053535507124	0.828671182366348	0.153141177337259
"Ectsil"	-0.303220790198741	-0.0594357108802601	-0.169648882385346	-0.352000945463975	0.205659649621387	-0.261694898160538	-0.249814053470916	-0.562887801725588	-0.261591675302643	0.108343588721878	-0.0438396338020434	0.646090176082534	0.490453132614731	0.382323122903681	0.60943899252779	0.259744389834383	0.00593843592377208	0.396504071768576
"Aurlim"	-0.651381415315972	-0.0276308103729946	-0.477164382901682	-0.0910395549470353	0.0252650675292563	-0.172403863651783	-0.0820725571088408	-0.317429187689527	-0.501324638300542	0.164449163515395	-0.182737619655946	0.493050181930778	0.135954703716991	-0.0777227865454903	-0.308546795664858	0.914205053393444	0.39585628153177	-0.0460246015418112
"Hypcat"	-0.661103719719852	-0.594926503126815	-0.570849966839318	-0.623516345068165	-0.254498638578774	-0.532101310193576	-0.582022110613465	-0.585382241256799	-0.561624597798282	-0.137552098940877	-0.506573550102862	-0.205856037708074	-0.448948599427655	-0.425479670864519	-0.505759475465172	0.968556065889121	0.661900525100851	-0.496334770278964
"Aurano"	-0.607860025653799	1.95539205199741	-0.2586861481348	0.812589912302602	0.112133797455315	-0.759730939591278	0.859171802232635	-0.212508644905823	-0.441198884395329	0.130221022882813	0.0728487447342039	2.55347358335681	-0.189888813485085	-0.136484863796655	0.536230912220591	-0.36990960515252	-0.65152343692843	0.985644109394247
"Blahom"	-0.593231380563479	-0.0482631212616603	-0.477702233196128	0.859863042335902	-0.173571006172809	-0.586981762495984	-0.0559096160058054	-0.59058482427063	-0.447135758306366	-0.154671225740136	-0.3610450234352	0.888822040608632	-0.117390877135347	-0.319674851280677	-0.343796076860931	0.798259668290512	0.311241381128913	0.351115255550473
"Nangad"	-0.570217049014245	0.482449474955653	-0.388674311100635	-0.161904693124157	0.25068594483115	-0.484051148938367	0.125642462126858	-0.359099000759055	-0.330126435980916	0.210857648434704	-0.26235060485128	0.170727339878171	0.260497960077669	0.205672241042683	0.136772115125875	0.0598056859535099	0.432848096456086	-0.260037188289434
"Fracyl"	0.139439204781385	-0.0844238361933297	-0.10718934909013	-0.0733257479924835	-0.0712087734330258	-0.0202943195397623	-0.113851265232722	-0.487944812658158	-0.300560401928929	0.253736518012447	-0.473210280042501	0.290815358606873	0.303650661981163	-0.141592054536161	-0.28007647136916	0.368134800601486	-0.1994865071423	0.310411946274345
"Psemul"	0.528297105123723	0.123818267065252	0.288811286095392	0.175745431721718	0.115141527539038	0.021634397621274	0.028195571886279	-0.586046937391303	0.0363164912138547	0.357724805935297	0.0903056833452192	0.252557531395259	0.285384033828097	-0.0996696876416111	-0.0619751720066056	0.0834754561387036	-0.299665615473838	0.852249139168663
"Phatri"	-0.209830780416316	0.36419849362979	-0.185086759078754	0.174602144105829	-0.0624897063480113	-0.0741240137858286	0.0719476581174877	-0.587848460623765	-0.14133295149151	0.393523597186325	-0.200323614393772	0.260962767832769	-0.209711750636864	-0.217814760885898	-0.187254950322434	-0.00661949105318253	-0.433089331250501	0.167611578792467
"Thapse"	-0.643605640944295	-0.499810995654067	-0.583908919512732	-0.342278569311353	-0.0227726536720206	-0.411479319467244	-0.401191221186014	-0.707473994918352	-0.60884473094459	0.0529326414837536	-0.61305290227653	-0.535503206588339	0.520064545613071	-0.185325627635008	-0.21853649432724	0.361212965476954	-0.516070166113742	-0.275138171740827
"Albcan"	-0.330293340860447	0.173700688335794	-0.418722907419549	0.380581040962972	0.0811429254810816	-0.347540486344339	0.0210748117998794	-0.604744933153728	-0.401595446928324	-0.254750843640997	-0.459626097905941	-0.292256017021708	0.404859604644691	0.0982967656794838	-0.117479205758726	0.288016824737107	-0.146772829404155	-0.19494709021359
