"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	-0.18673570444549	-0.0747395077825242	-0.110388295418844	-0.463501463154205	-0.241746491381127	-0.234511600722629	0.0160609458872201	0.0388048711757515	-0.0595321429413767	-0.172763657110647	-0.0117873540718613	1.64732201004415	-0.214649971220562	-0.108394286905481	-0.186501708659229	0.0545873160380021	-0.179734160638819	0.39694717386171
"Leibra"	-0.309914558744557	-0.281399844024634	-0.113008946262036	-0.474746326799869	-0.301306829135318	-0.270829084435062	-0.114262431962044	0.0403294768553775	-0.185446295156082	-0.171696420365736	-0.0270625090727181	0.412820868832821	-0.337509420485063	-0.38325388035658	-0.338265365074999	0.184111084387055	-0.188466631446604	0.507257889416868
"Trycru"	-0.446544996984915	0.0999142430258301	-0.317316108339501	-0.475548836724672	-0.194043334983925	-0.236521824888074	0.0594690103905106	-0.158534181390315	-0.281113561450689	-0.25516308355324	-0.187685360743715	1.7828999840639	-0.0900963884481871	-0.282399225187942	-0.164023467956371	0.452661360003189	0.325715078461012	-0.1898630399021
"Ectsil"	-0.413919387643419	-0.0755268799096768	-0.241269463688255	-0.465380584698931	-0.0753276302443089	-0.230643415116634	-0.025085688429707	0.124734502564695	-0.0873882938872543	0.168157610034819	-0.0586448481197906	0.876381677200099	0.168545137977282	-0.120091136686658	-0.0593957004277182	0.00130277251552461	-0.0762586225126599	0.296569768330074
"Aurlim"	-0.343064073375293	-0.148504131983613	-0.220643011865829	-0.450843589705608	-0.159401041368677	0.306058083805009	0.00648312038547383	0.110066374594554	0.0117655650270113	0.217625102417179	-0.0530938701282822	0.721265795862649	-0.174481821900164	-0.24756162554855	-0.148544664038845	0.0576544899951215	-0.040739789648072	0.559613328183044
"Hypcat"	-0.206992403472167	-0.472277434187304	-0.171661722877282	-0.71562463113522	-0.317912692408077	-0.0427425822725	-0.163056849389926	-0.186245042893336	-0.122933108180441	-0.0602769037310716	-0.20422014937145	0.690745071420608	-0.428843342542942	-0.433897514150544	-0.418695188379575	0.0191626898087171	0.082151745714798	0.361579878035373
"Aurano"	-0.325269445413705	0.720168165833744	-0.400168753338678	-0.102696521661187	-0.00844300639798559	-0.140713939535175	0.711171869777471	0.488339026972434	-0.11606483629075	0.494377986691218	-0.329366135538452	0.787865234104731	-0.249983680290774	-0.280388502665718	0.540861422691128	0.20429910399362	-0.0431693981384873	0.322370383453329
"Blahom"	-0.280703862123234	-0.474190692809915	-0.112440464981281	-0.46670926332321	-0.265237509133144	-0.245762520122768	-0.196917139935267	-0.0441396334631722	-0.169161538333684	-0.214013610239874	0.0358350406572806	1.60464969665048	-0.206484957335594	-0.279357569119415	-0.251867330174153	0.80434213831126	0.723986445499543	0.801391254133602
"Nangad"	-0.218240084328634	-0.00398339446624515	-0.150538409693931	-0.539897804136338	-0.132180689771462	-0.159582761050019	0.124921300500513	0.153354248369309	-0.0392783467600182	-0.0359910222889677	-0.162349012021742	0.557191676235092	-0.188073476088518	-0.135301107360183	-0.0495001238602297	-0.051198859403906	-0.0692669067733819	0.116201913840438
"Fracyl"	0.308826407867149	-0.112477596337147	0.189131338664247	-0.524012171540133	-0.322126936898553	-0.0913870680387107	-0.0717711927337252	-0.0653231473027231	0.0241500667367633	-0.0777090817334595	-0.0885191860015941	2.80030223947573	-0.140896944033288	-0.345165728749465	-0.435825986658758	0.0851247534099696	-0.192915754915116	0.992498337063967
