"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	13922	215655	52595	47353	568322	16517	557228	395856	185783	32873	13528	1675	95778	236534	65900	59319	2262	4823
"Leibra"	8418	16325	58318	5064	162201	8707	47362	36988	124276	13203	24546	3542	10248	60572	11034	41888	2089	11735
"Trycru"	21659	210668	127440	35326	494526	13841	464240	246200	346216	34109	52296	14160	53548	185989	49533	111847	6153	16306
"Ectsil"	76226	246113	370906	53663	1191753	79899	661870	416500	1008684	104840	132625	17760	118457	463784	130332	135489	8297	51306
"Aurlim"	8702	146774	41335	32345	333475	20363	385945	300697	136437	28257	13539	1347	38975	101527	25083	45468	1829	4157
"Hypcat"	9310	45626	44551	10824	261977	12897	164363	164465	159079	23495	12940	1371	15631	61752	14075	52575	2859	3293
"Aurano"	14029	39465	208797	11961	232761	8635	82309	37294	433063	39165	153117	70366	5518	59665	10566	22082	1544	82511
"Blahom"	3067	44636	12623	19235	90063	3186	118933	64895	44270	6216	3307	541	9662	24261	7413	13167	540	1843
"Nangad"	7626	56921	47684	10606	197407	9201	135544	85892	156007	21234	18255	2221	15811	65528	14342	18691	1967	4785
"Fracyl"	23217	262435	46827	47307	367494	20072	652225	455610	132253	25579	4315	407	64946	108652	37013	27532	651	2767
"Psemul"	107131	574866	284803	134570	1155507	76836	1444249	729440	756216	101781	53178	3267	151636	324109	112647	83399	2830	22623
"Phatri"	9431	65371	34986	15293	133695	11040	154696	72565	113417	16529	8725	864	10383	36956	10628	11923	434	3348
"Thapse"	4762	36260	19100	11181	164871	7790	135221	73136	62964	13764	4069	276	25044	45698	13196	17503	374	1982
"Albcan"	7424	107790	20330	27494	188626	7680	258809	129805	74966	8873	3725	243	27949	63091	17570	15214	507	1439
"Pytult"	10026	58787	45306	15249	276727	12354	171712	95078	120606	25951	16303	4169	25728	97637	18688	40639	1319	6551
"Sappar"	23585	36286	127253	10099	345599	24242	109225	64089	250514	46395	59535	9968	24893	119154	23464	41994	1011	25126
"Phyinf"	77260	312591	255557	69109	1046944	70521	860039	757412	814464	94678	62418	5071	84162	335557	109537	148651	5720	24520
"Hyaara"	22116	145292	72091	31156	408672	22998	409419	351092	214500	27445	15917	1465	39987	134638	42891	48303	1252	5304
"Psecub"	18924	102944	156324	25383	396313	14931	269854	167148	309266	41550	81918	7503	26168	119760	21782	81885	8772	24247
"Gialam"	2314	15252	11841	3789	66955	2679	49159	46026	40363	5269	4187	309	7857	24266	5362	12456	632	931
"Permar"	22495	190233	78320	52363	481796	25296	437100	284527	270066	37809	19399	1398	46868	148440	46343	43959	1971	5396
"Stylem"	536	110569	2121	19834	80244	1955	237830	236164	6777	2612	552	25	11809	17110	4379	5612	158	139
"Oxytri"	1633	378479	4360	55501	270428	5423	770934	759098	15642	7918	497	10	35566	66784	20516	15463	367	176
"Partet"	1123	453920	2824	75090	245972	4283	946174	871482	13026	9035	313	13	52111	61092	26593	11995	336	43
"Ichmul"	656	386592	1710	22327	77189	713	698462	714848	9570	1498	224	3	22084	22397	11784	2630	147	13
"Tetthe"	780	814467	1750	58345	238211	3879	1437977	1441004	6969	4820	120	9	53514	64790	24685	12430	389	44
"Hamham"	18081	103184	110137	33914	359799	12603	218872	129797	314839	20203	44187	5352	49342	184544	34251	78171	4109	15776
"Toxgon"	16569	101384	90293	32646	357234	12270	212933	126512	279946	19262	32795	4699	51614	185546	36584	76076	4049	11923
"Crypa1"	1100	56719	2148	9015	33459	1713	110234	97791	6384	1634	237	7	6774	10629	3474	2035	55	115
"Babbov"	2332	18613	5596	4372	50862	4385	54920	53518	18712	5721	770	62	6702	14806	6400	4233	142	428
"Thepar"	1054	41696	2536	5166	31263	1918	88808	84468	11252	1970	288	9	2323	7986	4617	1927	63	228
"Plaviv"	3643	100724	12403	11065	144443	6638	222395	192887	51910	9426	3192	868	21679	61551	22538	15312	1367	1511
"Cyamer"	7052	22148	31155	8311	102011	8819	46199	22028	87515	8990	9994	1206	12172	36520	5272	20445	860	4384
"Acacas"	16856	35356	121056	11672	252138	33272	109593	69997	240053	25842	61086	7803	11061	82017	20540	50017	4880	23773
"Polpal"	10636	138966	20864	24647	107294	7693	320646	274476	40255	6116	1514	32	13311	29198	14728	6880	154	1996
"Dicdis"	1729	234717	3346	18408	79505	4840	448437	407981	7149	4591	132	8	12394	19747	10878	2346	69	124
"Enthis"	128	106960	246	7026	68046	362	258250	246647	1469	2288	24	3	11659	15785	9238	1779	46	7
"Guithe"	18071	120434	89326	32374	558534	27833	251988	130452	286142	54809	36338	5628	34091	192431	47637	100561	10267	7774
"Emihux"	34037	110335	553693	31882	659645	37976	223132	137755	1120037	55812	347584	80147	25792	239019	40284	189186	15750	127535
"Phypat"	25599	2195230	107289	283586	2455396	69020	4639842	3786567	431564	141867	21926	1526	349520	793780	354157	132564	5004	6373
"Lacsat"	204216	4121433	426796	581817	6668599	225917	9276190	8342747	1630465	478197	53501	3936	941192	2070563	897984	201739	8579	25340
"Sollyc"	63245	3498115	168944	456222	4373680	112583	7444415	6603518	739730	227485	20808	640	643570	1374473	611777	158899	16111	9465
"Mimgut"	54447	1442008	176485	189494	1571574	39648	3121190	2563773	620161	82908	36023	2817	231344	560659	228011	73053	1733	17309
"Citlan"	22733	1743955	69965	194583	1688407	42874	3457338	3052530	259437	106314	15343	855	273149	533621	222702	62677	1874	6951
"Cucsat"	21184	1125328	71585	129388	1105654	26847	2301066	2015421	256907	72112	13784	877	169598	323306	138819	49633	2014	7178
"Linusi"	64519	1079631	199040	190315	1588730	57061	2453377	1962128	619249	129811	50341	2606	227503	459251	177004	124631	4431	21755
"Poptri"	54941	2025114	144033	241617	2602529	45572	4413138	3984877	502084	148544	30845	1449	386760	827248	333759	143687	5959	8523
"Manesc"	49020	2024275	177312	268388	2387571	65794	3947230	3610044	551623	145229	33161	733	455031	782430	240914	173511	6214	16853
"Jatcur"	42777	1399264	126831	173358	1382309	41638	2898397	2473842	399315	97236	21833	3537	253600	434073	159747	83722	3017	9132
"Riccom"	34837	1623242	116787	212068	1759332	42832	3398517	3060419	365300	91868	32651	2371	287368	553421	214940	96485	4078	9825
"Betnan"	69794	1986720	245267	238296	2638386	76614	4344051	3729550	767944	184622	65554	3182	358819	848727	336724	156757	6732	19306
"Medtru"	59526	1740398	150631	205328	2086664	62402	3787270	3288751	440495	104184	30490	2761	356223	696281	315509	99196	3345	12882
"Lotjap"	22783	594673	66147	92201	799395	26145	1271266	1058610	237001	54750	13579	776	105245	241504	93144	41990	1845	8165
"Cajcaj"	46581	2467473	128528	261937	2836130	90004	5126154	4541212	503930	180590	26377	2482	477453	925283	397949	93828	3046	10198
"Glymax"	95456	4630933	252416	555663	5831531	189769	9643051	8198349	1008069	389209	48673	2021	984460	1929927	741333	223471	7655	20617
"Pruper"	24435	939899	78983	126307	1269187	36764	2040678	1606538	287988	92400	18497	756	185373	402744	150664	85827	3077	4947
"Maldom"	76231	2657024	277925	362707	3865073	106822	6000699	4958873	1021787	250251	82755	2888	560820	1249265	490636	204573	8454	17534
