"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	17578.4001682733	132103.800451346	57798.7925026885	26575.2659906291	349524.039635154	17578.4001682733	528415.22746576	528415.22746576	231195.181237591	17578.4001682733	11627.3587849026	584.7676910418	26575.2659906291	87381.0056653157	26575.2659906291	17578.4001682733	884.059799717781	2906.83955506296
"Leibra"	8933.61420965505	14261.6718105656	50154.3896900446	4763.84846094911	106980.672157221	8933.61420965505	57047.4276645962	57047.4276645962	200620.162622078	8933.61420965505	16753.1489511196	1399.00195528767	4763.84846094911	26744.8209120592	4763.84846094911	8933.61420965505	746.017586518394	4188.23287773589
"Trycru"	23365.7763407511	75987.1675751843	100300.720388064	20337.5351887428	349206.367429086	23365.7763407511	303948.676138624	303948.676138624	401202.889258024	23365.7763407511	26844.9199443025	1796.22267464432	20337.5351887428	87301.5901804898	20337.5351887428	23365.7763407511	1563.42940715827	6711.22985718169
"Ectsil"	53051.1175555447	138491.188940132	246337.51239137	39777.7609190749	738816.103396313	53051.1175555447	553964.773566632	553964.773566632	985350.081241288	53051.1175555447	70753.6324030656	5080.50549094057	39777.7609190749	184704.019912181	39777.7609190749	53051.1175555447	3809.36617508723	17688.407532188
"Aurlim"	11729.1392879317	84737.2250230092	39010.3190335657	17286.7563764864	229978.391145103	11729.1392879317	338949.03300247	338949.03300247	156041.337322506	11729.1392879317	7958.27195330474	405.880221036055	17286.7563764864	57494.57524115	17286.7563764864	11729.1392879317	598.198412250142	1989.5672081696
"Hypcat"	20284.7336216665	87194.0573589318	79230.7133024246	21279.7229551822	332476.322380732	20284.7336216665	348784.665423739	348784.665423739	316930.518746786	20284.7336216665	19336.2676274666	1179.72622907967	21279.7229551822	83117.0702099943	21279.7229551822	20284.7336216665	1237.59314695006	4833.94998622708
"Aurano"	17251.4927173206	6876.58323637301	185476.096790513	3321.76616643614	142853.313425457	17251.4927173206	27506.3329923956	27506.3329923956	741904.388427735	17251.4927173206	89595.1087655663	10819.835601408	3321.76616643614	35713.3282954964	3321.76616643614	17251.4927173206	2083.35385326583	22398.7771533142
"Blahom"	3680.22149710075	26319.2191580175	12276.5114460996	5388.5630837868	71900.8663382497	3680.22149710075	105276.911823751	105276.911823751	49106.0621994228	3680.22149710075	2513.47716582018	128.651477641948	5388.5630837868	17975.210575846	5388.5630837868	3680.22149710075	188.370891164973	628.369081406527
"Nangad"	8599.55830576331	20752.5996013212	41106.6899977742	6110.21011680062	116830.025135286	8599.55830576331	83010.7752221332	83010.7752221332	164427.506388599	8599.55830576331	12103.086741775	890.87715246974	6110.21011680062	29207.3737001312	6110.21011680062	8599.55830576331	632.991416105189	3025.75795034141
"Fracyl"	9903.98291462529	170181.322261672	26197.0155489265	25242.9391492337	267080.296281702	9903.98291462529	680725.29255434	680725.29255434	104788.062735228	9903.98291462529	3885.79463717476	144.094657044946	25242.9391492337	66770.0737264424	25242.9391492337	9903.98291462529	367.263624229229	971.448654292827
