"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	72.3585747881392	1321.2386934667	283.548464070002	250.213632292037	4971.41918347473	85.9900813176254	4667.13901404889	2882.3634572962	1153.99564345366	171.608195362375	70.0611298674393	8.38020385360064	547.94061358693	1647.16954621667	370.249659291653	316.730132853253	11.2574801114296	24.6701823627538
"Leibra"	138.376181750319	277.621342285808	1091.05500350685	82.3791888340258	3901.43667219777	143.068667190232	892.47597152002	684.998596773058	2822.16502101782	219.921150950583	425.452013218766	56.8659717014625	170.771710861421	1120.25269068853	183.493560276296	749.129231118533	32.9516755336103	191.522924251258
"Trycru"	118.365364386162	1465.30005017276	788.250612250901	193.321539796914	4179.97012309563	74.7218327453323	4070.88919192991	1763.84144674324	2628.97877160097	187.061242877838	304.310689809619	77.745969046704	304.712420093196	1160.38676493778	276.747528686416	644.174509715808	31.9040800207445	86.360851794523
"Ectsil"	193.42674438363	681.611462827312	1070.33302538721	134.878067448463	4661.09004952389	204.954381821128	2174.58964292481	1267.07206868048	3807.2704395935	307.677509617558	354.002600055223	43.7610675850208	310.231067070803	1336.0181199181	334.997434747463	349.70655360212	20.0517052476145	129.258147971444
"Aurlim"	68.1609557376189	1373.48743187988	339.98798073477	261.925433481342	3930.44842074283	161.809341488155	5186.35028603598	3856.56987933194	1297.10848857106	227.669927479677	108.41742629432	10.1016236676442	327.335947131236	883.908740264852	199.248692573186	374.260156082421	13.9189038984866	31.6384186818295
"Hypcat"	80.7468919552324	414.856977111668	399.388808863662	94.1009597593195	2911.28074131073	111.483563409319	1712.29216454711	1698.5270216567	1631.89762266586	205.490563148908	112.070813532629	11.005067310844	137.733643921311	560.894337776593	123.533935939656	469.036673488321	24.1594700730055	28.599081005235
"Aurano"	132.981915108238	399.496150886136	2702.80582405354	118.356853047553	3123.0011555175	81.4796804321721	1005.25678591577	425.797673785593	8149.48165851113	383.278844165619	1889.50297768426	755.78546520052	52.8979059211038	606.212753883657	100.311413569451	213.675301881233	14.2712299140548	874.279919638429
"Blahom"	79.8668139516707	1336.39533912852	342.088183739554	534.686178639709	3170.18433655459	81.0938925895387	5302.63360418871	2299.54536736467	1448.43295389039	165.975723582931	85.6820996702626	12.9643525653013	253.738521813057	652.432376629914	188.650002760927	353.078540235242	13.1777575458	45.2952071108674
"Nangad"	121.786974744657	1013.73817045979	828.059165404011	168.742180104813	4814.77028211972	146.203681531938	3078.97638179531	1753.06023548843	3629.45614372286	343.118984852844	294.186718214366	34.3679152215035	253.788766093979	1160.37021526869	228.877793987117	300.315608177165	29.8865763239729	73.777336702729
"Fracyl"	148.090029026827	2044.70534185077	306.92757544603	306.966943641607	3255.25111036355	127.329867226167	7915.94680280714	4574.17752129836	961.804386128774	162.944961491015	26.8622321150123	2.44082812574123	431.842860010174	752.142499220346	238.479406070405	177.813016687063	3.8580831664942	16.7052376562827
"Psemul"	288.64218851301	1664.4791315396	790.606222311959	345.041237900411	4251.73866874504	192.95121832067	6091.41218896655	2452.41158411986	2542.86496425832	256.427011521324	132.5240223842	7.54152995353013	377.216433288633	858.180129867745	275.278337554933	204.630844232797	6.55198526777866	56.2841022774396
"Phatri"	184.051883941676	1457.54465442024	725.887628808386	299.642967785842	3658.36638716919	215.661677695898	4581.18546883967	1761.4130959213	3059.44611759209	324.589514527605	170.075317037496	16.0080446518809	201.60385168181	763.063671591307	207.332618930325	231.385315463101	7.88213366107841	62.081959969731
"Thapse"	75.9511472171238	621.563545866735	314.431638076792	179.743126225952	3787.91492643077	125.419551998237	2976.45653640428	1454.03836867257	1182.35259306621	224.390313794355	64.3055309920575	4.24402923654022	415.405581672557	789.457342464266	213.559551182704	290.087886375997	5.67002306001774	30.1156314624894
"Albcan"	117.700610809487	1906.45890210216	316.848953075346	418.848065971026	4069.23414852702	114.669433606049	6634.18598630399	2568.07395029651	1304.73991544774	130.977166960544	55.0158662423948	3.36460669581588	426.213826575379	1033.44955574006	267.743882379655	226.36831355273	7.00201933994116	20.4907578952391
"Pytult"	118.154405747838	727.03752318453	539.406644278401	169.029038127791	4742.32431028768	137.433951780664	2764.99070001438	1478.72949614437	1641.7526635686	294.895262288759	184.148876046868	44.6584393560361	296.34414938456	1233.79746951401	208.99027899583	471.449165656029	13.7644274101022	70.9019911073853
"Sappar"	239.927656798712	386.885681726031	1471.75971150728	99.0306125604858	5602.46334860631	242.107119032804	1391.99139373953	781.264562180701	3578.53169089613	479.979854296515	631.566641873381	94.7754720082117	252.028861393716	1338.75024487815	235.942354427802	430.308872142409	9.46509313091208	249.019127832351
"Phyinf"	208.942681553135	872.897274632594	704.021181245487	174.724616101812	3813.7154211091	178.879591771431	3199.66261176806	2773.5146324884	2811.72988972316	238.379895252958	159.303870958363	12.2598079568142	214.91743137679	943.474006924525	299.847237848963	388.527041349539	13.6851223953799	59.2162924863881
"Hyaara"	155.145099521931	1125.15421822817	530.077904017458	217.425161489454	4116.34775199789	160.297152180122	4356.78636417324	3638.35966214888	1848.71874072106	190.554787404746	109.630556978023	9.5213348848887	278.780131128849	1009.68846348811	297.495460536365	344.248203580998	8.28313438416326	34.7407749686298
"Psecub"	152.752604418693	906.613987251476	1693.63109464161	197.644180847021	4688.55831541686	118.244536665615	3223.3488674561	1899.31161378968	4221.39369007857	334.930331475483	801.628631573868	60.2958535199053	205.152017209515	1024.90515644108	168.390044130223	708.954262229791	67.5238947384554	201.918828879497
"Gialam"	98.3722387645233	710.763995796351	536.535235041746	162.16676962544	4171.57262095988	115.705766757546	2915.51727804283	2638.98496289642	2326.08797819764	225.33586390929	180.572474607722	12.5087315413563	338.093143946373	1177.07163804163	237.040462708701	552.081801386003	25.4642034949039	37.6155427065071
"Permar"	126.839602791917	1488.61626186676	463.40501390186	305.732951314547	3992.11205034219	143.47030387266	4049.33746761793	2135.16817886536	1942.88659299471	218.07021319292	109.790519294048	7.44953137159784	270.40288053505	915.095320124202	269.519628765562	252.714601677683	10.6803733705123	29.0427127888034
"Stylem"	11.8672673420395	3487.90780740147	56.6459313811015	473.658757390967	2334.46101856977	43.9310020860592	12634.253990037	12389.7587988969	191.129342968375	59.3731915777193	16.1424319745754	0.62653274787165	279.839009093496	405.993220620829	100.060965321855	130.06082748465	3.64863188466431	4.05403542740479
"Oxytri"	11.3019191403227	3960.98762155445	30.5553861343112	411.604280470093	2562.17038302755	38.0602178164228	15032.2374214256	14596.6891541602	117.128980181526	58.5198184736078	3.40993344286417	0.0595621562072344	262.028815694676	497.492909720925	146.418670496434	108.656263461047	2.5909537950147	1.14657150698926
"Partet"	7.25727076193114	4454.97903516014	18.3998872472671	512.241204926746	2050.72710151724	27.8773555654296	19475.9753740682	15962.4294839238	89.6266000981133	59.3347796902822	2.09531144369331	0.0693811736322289	351.332387038881	423.114149278785	177.477042151242	78.7060033684005	2.05368273951398	0.291400929255361
