"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	8691.98829120149	93879.2469953502	33519.1915516997	26536.5489613682	614662.077845152	8332.31470675828	404801.078900587	299055.765455298	125318.022892182	18986.4231606393	8072.59726123396	405.503517760061	60569.2291590115	164405.529638608	42632.6194778419	34522.6202660942	1066.37630758461	1908.96498594486
"Leibra"	4822.11828742727	9463.45999097114	31318.577170967	3824.58211189639	143656.447799776	2981.09330697993	36920.1333971677	26713.744231695	99572.3865127702	6004.10402126217	11562.4753179623	1129.09590200367	6391.48962030704	45184.3699249362	6957.03305207724	22355.246877455	934.334864385731	3144.58263537287
"Trycru"	15832.2406803869	76966.1091510254	78372.7879088831	21280.2580022182	586189.807321387	9044.12055244798	297164.762456406	176290.463617827	253274.326637225	24379.8020294415	23750.1179833308	1910.66861423299	39524.6845281915	181389.60254487	36642.86956009	42366.4970225214	1762.03474913941	6910.38936386164
"Ectsil"	43081.5278968362	123114.363969997	193341.372422068	39042.482630406	981561.402769494	30344.4755801786	475119.912127839	370253.869584594	672845.262843786	46586.572268205	53891.1858242456	4222.1887511659	52116.5115261409	282050.627695112	62848.276254547	78750.0015728486	3737.60890458073	17058.7520879137
"Aurlim"	5099.31127705381	77020.7538893247	23067.0884677815	19217.6557884744	308397.189239598	4313.51114510892	290237.449170587	225392.46105503	83293.6634015812	9442.00938682243	6473.61356061967	362.410795572729	27716.9601955095	85406.5598378981	18880.346963722	26823.7196272642	821.245527996343	1234.28748170558
"Hypcat"	5866.25546384412	64764.8977600509	28221.2136282164	24590.0800300179	291957.825925845	6081.75909179828	206608.786328496	179067.025133428	135861.902838251	11124.3231222665	8353.61608114785	351.201174055528	15402.7986396235	60645.4348403816	12606.1769765389	48819.0432692817	1860.12760618342	1229.26885063073
"Aurano"	9635.50994265191	11990.3795329002	139854.387367132	6593.53062522379	98541.2501186156	4149.5928948084	30903.1535505024	19128.6022168245	419045.336801335	4638.99911839539	76070.1800137094	16319.3385156861	2832.03687696526	32887.6733742972	2265.85314736198	14251.4749451942	670.912735804647	27919.4093375109
"Blahom"	2096.02463990546	29733.3559685881	7843.95698430066	8689.96261010201	103076.088876028	1306.58652214158	100468.930089108	61593.0662039763	34443.9584445491	3285.14390465216	1830.08540795992	107.508237180109	9015.0693235341	23473.6204480874	6272.50849862716	4612.44033770617	147.00334894545	505.811531311538
"Nangad"	4980.2702535124	24058.7622429398	28454.4524481895	8468.07802068051	149145.758566176	3553.75676737848	80700.8963359941	51963.2416507475	119945.803177445	8608.16029325175	9626.23668378628	688.312943037733	8397.25263064565	35381.4871595471	6192.68173747713	13606.5701096767	785.322611059125	2122.40102042292
"Fracyl"	7474.42242174956	130384.709504638	18430.3667070949	27190.0802463688	443846.268426462	6569.98214903917	555879.260441874	434548.280961454	72458.1640742467	11477.6777342839	2429.79332304652	84.960380539996	44477.3302928948	112896.173856804	45784.9649231385	12577.0845255839	325.238113486268	884.334817334303
"Psemul"	26007.2455254553	267630.440517119	80050.0119037322	66564.0765313809	1325058.48135998	22833.7978149851	1048448.1630689	717140.054778215	324997.285810973	52541.3927658606	14799.9159859597	581.265715217133	103796.560673696	326374.870920801	106035.104799297	56946.9976425007	2258.06982262972	4665.39810364188
"Phatri"	4451.87010684047	27623.7872767829	17043.4804347424	7906.68807727797	126668.163682451	2787.89356470206	98262.0481708164	68599.3288162944	63949.3288922528	4921.86054199571	4073.26912586957	281.357433613018	8595.5831627073	33759.0152518898	8818.07864377353	7210.38756970359	280.169231479013	1306.32193181723
"Thapse"	3524.75838587056	31462.3492703841	11468.3492196387	9787.99447559044	198131.132612199	2581.82915572821	115163.502361011	69708.475216567	47226.7339099186	6735.98060031391	2277.05784184303	100.571712137981	13579.6532728077	48113.3635966564	14787.4797463486	10822.2972185372	367.93200116429	761.625667457125
"Albcan"	3033.48109019879	49586.5531383433	10916.2715070807	12897.8624178292	207681.845173237	2057.13280248615	187923.350213234	122765.490743321	41140.2282821245	5159.56316379749	2439.75752711282	138.012369774209	21052.1206650434	55106.9234100063	15313.4529490907	9511.75821661008	236.306246588171	678.313095779469
"Pytult"	5865.72321736228	32185.9654772175	31436.8782399772	10778.4993856631	257992.924894197	3098.37040077716	119399.325782796	72880.2920322092	98104.8261465493	7296.42964477173	10142.6333400751	1010.85163198854	18499.5543763085	82671.6939954136	15425.4907624173	20914.0640363644	591.481324111925	3118.16710565522
"Sappar"	9136.43858678724	21191.2293504206	61945.2332399883	8695.3950065847	243522.818783697	4626.92106011376	77269.8075848477	48858.270548782	184781.300984463	8367.91942308716	23501.5085927258	3202.49349519661	13458.4922276691	81637.4694212629	12040.8897785687	21875.6374832009	751.689606343345	8193.20631040333
"Phyinf"	31448.5389126176	139098.087138998	138604.243100025	45280.2606308827	948180.347160811	22994.8864817223	536346.930023142	432645.436941679	482934.842536882	34262.2972298692	38007.1277279319	2941.1165578139	61565.3574761779	272131.575038761	61745.1546615266	77567.2820805085	2802.87740819631	11097.0562203279
