"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	1.8594900041836	3.12098128384545	2.45262729913487	2.39831096749938	3.69648038381788	1.93444835964532	3.66905073684727	3.45974874314892	3.06220416928106	2.23453802427999	1.84547713685318	0.923254583238518	2.73873349171597	3.21673830420716	2.56849466755024	2.50068938294679	1.05144118836835	1.39217235981989
"Leibra"	2.14106134283313	2.4434528496815	3.03784664528804	1.91581751125913	3.59122456187612	2.15554453133943	2.95059653226127	2.83568968183645	3.45058240474862	2.34226699970818	2.62885058305857	1.75485246458434	2.23241592938385	3.04931599570026	2.26362082724999	2.87455674362794	1.5178775025871	2.28222076410082
"Trycru"	2.07322463940948	3.1659265644796	2.89666431674577	2.28628024561561	3.62117317760731	1.87344751554301	3.60968928120811	3.24645954343792	3.41978707929245	2.27198381557122	2.48331720849944	1.89067788109238	2.48389015644784	3.06460276671175	2.44208375138402	2.80900353558955	1.50384622591579	1.9363169172175
"Ectsil"	2.28651652215246	2.83353688545698	3.02951892589575	2.12994133469406	3.66848749332811	2.31165720774837	3.33737731525504	3.10280131744076	3.5806137268936	2.48809575167168	2.54900645181531	1.64108790840371	2.49168528664918	3.12581234835441	2.52504148142703	2.54370377118991	1.30215131202543	2.11145792900005
"Aurlim"	1.83353567138106	3.13782468975572	2.53146356412216	2.4181776713321	3.59444210140457	2.20900359045085	3.71486184566801	3.5862012049928	3.11297630146368	2.35730566920911	2.03509909341274	1.00439118499301	2.51499370094959	2.94640742831022	2.29939548033107	2.57317359437436	1.14360503631033	1.500214768918
"Hypcat"	1.90712581480909	2.6178983985026	2.60139589148899	1.97359405292833	3.46408408744609	2.04721084185209	3.23357786935101	3.2300724603983	3.2126929097451	2.31279188233637	2.0494925245297	1.04159270319457	2.1390400374587	2.74888105583267	2.09178627878423	2.67120680107528	1.38308740400151	1.45635207785744
"Aurano"	2.12379258305176	2.60151259927713	3.43181484607934	2.07319340932527	3.49457214492017	1.91104931700441	3.00227701345943	2.62920328447468	3.9111299866532	2.58351484817244	3.27634758066204	2.87839853557794	1.72343847988187	2.78262506908708	2.00135035045035	2.32975432620441	1.15446140281821	2.94165050367677
"Blahom"	1.90236635989501	3.1259349523041	2.53413807323406	2.72809895795841	3.50108451585211	1.90898814749673	3.72449161973097	3.36164198212131	3.16089839706871	2.22004457066066	1.93289010049462	1.11275083315027	2.40438640549861	2.81453550454914	2.27565681589299	2.54787132237579	1.11984151281162	1.65605224979591
"Nangad"	2.08560084249217	3.00592579936815	2.91806136853668	2.2272236557785	3.68257557129696	2.16495830866066	3.4884063575309	3.24379683879248	3.5598415530043	2.53544474833518	2.46862306153761	1.53615318837063	2.40447239423082	3.06459657267245	2.35960365891885	2.47757790419053	1.4754761670042	1.86792297352313
"Fracyl"	2.17052581824837	3.31063073159596	2.48703590871874	2.48709161011236	3.51258449571184	2.10493028621531	3.89850286697386	3.66031301532631	2.98308675326095	2.21204093595501	1.4291420974971	0.387537199052508	2.63532574346875	2.87630012883932	2.37745088142164	2.24996355004502	0.586371585246749	1.22285265848825
"Psemul"	2.46035980873713	3.22127835454585	2.89796022805035	2.53787100325392	3.62856656295148	2.28544752511148	3.7847179879987	3.38959335887725	3.40532329810941	2.40896377099022	2.12229460916548	0.877459460322357	2.57659060434926	2.9335784547449	2.43977203685459	2.31097109599635	0.816372912236851	1.75038574355176
"Phatri"	2.26494026721212	3.16362186900308	2.86086939485207	2.47660408984949	3.56328719812169	2.33377297939168	3.66097787450106	3.24586122095304	3.48564280888469	2.51133448635789	2.23064128920195	1.20433828702486	2.30449882513547	2.88256077788548	2.31666763353152	2.3643357936144	0.896643795129511	1.79296541943896
"Thapse"	1.8805343381238	2.79348553556575	2.49752623822893	2.2546522909925	3.57840021653066	2.0983652451314	3.47369954516508	3.16257586669009	3.07274700817652	2.3510041058976	1.80824832869443	0.62777836703523	2.61847232771498	2.89732866831152	2.32951899947244	2.46252959371165	0.753584825174757	1.4787919738589
"Albcan"	2.07077871662849	3.2802274475417	2.5008522764783	2.62205651443032	3.60951268038843	2.05944766737519	3.82178764259699	3.40960752552738	3.11552394880604	2.11719559239368	1.74048795545458	0.526934304869103	2.62962753432232	3.01428928290003	2.42771955651935	2.35481563535949	0.84522330597459	1.31155802202408
"Pytult"	2.07244992026632	2.8615568258404	2.73191629168245	2.22796132008911	3.67599125047563	2.13809403439403	3.4416936749032	3.16988873581141	3.21530772955668	2.46966779534469	2.26516907248155	1.64990354204701	2.47179635754067	3.09124387518237	2.32012608574429	2.67343487148422	1.13875814977909	1.8506584314427
"Sappar"	2.38008031258962	2.58758265718973	3.16783691021555	1.99576946541588	3.74837902405581	2.38400755983086	3.14363655017182	2.89279812534833	3.55370486760847	2.68122300956004	2.80041918334876	1.97669595601117	2.40145027739389	3.12669956327911	2.37280590885161	2.63378030049289	0.976124891521392	2.39623270771014
"Phyinf"	2.3200271641049	2.94096313753694	2.84758572556208	2.24235409493182	3.58134828292786	2.25256079508593	3.50510418657855	3.44303046146858	3.44897359762903	2.37726962460474	2.20222632894257	1.08848366725017	2.33227164138134	2.97472993968405	2.47690005253188	2.58942125093666	1.13624868595516	1.77244121286234
"Hyaara"	2.19073806232949	3.05121205270097	2.72433970129624	2.33730980131288	3.61451205714825	2.20492580679928	3.63916626474745	3.5609056280881	3.26687084374754	2.28001986424619	2.0399316205472	0.978697840453816	2.44526181803217	3.00418739412039	2.47348034324424	2.5368716826199	0.918194707335882	1.54083950210318
"Psecub"	2.18398862366107	2.95742241507483	3.22881881862218	2.29588403212077	3.67103932205168	2.07278108386406	3.50830731234189	3.27859622384549	3.62545585664522	2.52495447926858	2.90397322039003	1.7802874472091	2.31207579163515	3.01068367813318	2.22631641075553	2.85061821783194	1.82945748418984	2.30517681868207
"Gialam"	1.99287255521555	2.8517254202264	2.72959824798272	2.20996186561593	3.6202998084155	2.06335500466107	3.46471561949619	3.42143691558962	3.36662613675665	2.35283031848086	2.2566515497591	1.09721327192204	2.52903636397355	3.07080289534929	2.37482248622613	2.74200343145838	1.40593009625231	1.57536733207947
"Permar"	2.10325487333023	3.17278275897966	2.6659607284141	2.48534224867986	3.60120272253577	2.15676201815105	3.60738397193192	3.3294320883899	3.2884474514109	2.33859634815822	2.04056483923931	0.872128953401917	2.43201131372601	2.96146633433731	2.43059039977932	2.40263033588445	1.02858643526921	1.46303718000955
"Stylem"	1.0743507261238	3.54256499711318	1.75316872192771	2.67546557130745	3.36818662636646	1.64277110983218	4.10154960339282	4.09306285170877	2.2813273668613	1.77359039484718	1.20796896493207	-0.20305622419376	2.44690825430588	2.60851878167683	2.00026468835283	2.11414651278794	0.562130049025516	0.607887539586191
"Oxytri"	1.0531521958094	3.59780348519677	1.4850877763537	2.61447988255025	3.40860800673117	1.58047126940029	4.1770236264592	4.16425435954212	2.06866436198765	1.76730297028935	0.532745902253812	-1.22502958875811	2.41834905394969	2.69678689555206	2.16559645907605	2.03605476616659	0.413459668196524	0.0594011450864059
"Partet"	0.860773326501548	3.64884566461629	1.26481516170303	2.70947451039276	3.31190787090436	1.44525157438252	4.28949921674092	4.20309899172423	1.95243692217742	1.77330933417101	0.321248584927443	-1.15875835802971	2.54571818641015	2.62645754873227	2.24914218211293	1.89600785980928	0.312533353029231	-0.535509067631807
"Ichmul"	0.802296164799408	3.80708624401235	1.22028620698685	2.34313973414684	2.94599799613244	0.828211529086253	4.42095648523475	4.45266059529016	1.99412145184246	1.16664372717565	0.337643550639344	-1.68766231462543	2.33682335307374	2.35863770502754	2.0669153414193	1.40505833005867	0.14484659808081	-0.909511064241783
"Tetthe"	0.549663598529332	3.80562632766165	0.906971757856968	2.43376808428145	3.11908881930805	1.24958443954927	4.38767156674649	4.38447818444059	1.53930842943769	1.34644696013212	-0.249201272364205	-1.53550801120748	2.39669508067693	2.49203185606735	2.06119901847397	1.75341159445425	0.225416837201653	-0.733875664974314
"Hamham"	2.12254338444223	2.90395044837994	2.97476590071157	2.39191852897914	3.58036676421083	1.95834872514487	3.30285605174917	3.05209932958142	3.51953105648539	2.17177180742409	2.55838518843482	1.60056968902004	2.59870905972651	3.200781211454	2.40710268646566	2.76841388043382	1.45048435306609	2.07903426210703
"Toxgon"	2.09498209408236	2.92217879583491	2.86475813173537	2.39359447337252	3.60412661573658	1.96468989083425	3.32033821889707	3.0680722112468	3.45761984088558	2.16211886380432	2.40266702048472	1.53352807714712	2.64594671415188	3.2343154434732	2.46184106486377	2.7814249100254	1.46876308607856	1.93528740928023
