"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	9.50922111924e-05	0.00102705904366	0.000366707125602	0.00029031552202	0.00672453461282	9.11573052415e-05	0.0044286103934	0.00327173404453	0.00137100597698	0.000207715530727	8.83159408318e-05	4.43629522478e-06	0.000662640323248	0.00179863166192	0.00046640997655	0.000377684850379	1.16663849115e-05	2.08844852893e-05
"Leibra"	0.000167612739654	0.000328941838658	0.00108860716573	0.000132939228695	0.00499337621963	0.000103620273615	0.00128331250671	0.000928547080391	0.00346105165873	0.000208697560737	0.000401901830214	3.92464154105e-05	0.000222162755427	0.00157057035544	0.000241820565199	0.000777049410949	3.24766870158e-05	0.000109303023934
"Trycru"	0.000176674737172	0.000858878245974	0.00087457561976	0.000237470113384	0.0065413943757	0.00010092491984	0.00331611345252	0.00196725605392	0.00282633241841	0.00027205846619	0.000265031712012	2.13214845616e-05	0.000441062853439	0.00202415823523	0.000408904177207	0.000472775135084	1.96628533179e-05	7.7114241077e-05
"Ectsil"	0.00022543269807	0.000644220495322	0.00101169734133	0.000204297587119	0.00513621605709	0.000158783528243	0.00248615982131	0.00193742731203	0.00352079720454	0.000243773542698	0.000281996391856	2.20934458085e-05	0.00027271005419	0.00147588623472	0.000328866156257	0.000412075109548	1.9557784991e-05	8.92633269204e-05
"Aurlim"	8.50021839686e-05	0.0012838855947	0.000384513278564	0.000320345753382	0.00514077944861	7.19034096932e-05	0.00483806845838	0.00375714491601	0.0013884508937	0.000157392121274	0.000107910904223	6.04115094054e-06	0.000462023599185	0.00142367149543	0.000314723035878	0.000447133863104	1.36896258458e-05	2.0574765079e-05
"Hypcat"	6.88991848903e-05	0.000760663883916	0.000331458223663	0.000288810550597	0.00342904538553	7.14302755321e-05	0.00242662070497	0.00210314265181	0.0015956983839	0.000130655202506	9.81132414749e-05	4.12485865542e-06	0.000180905908009	0.000712280781765	0.000148059579679	0.000573379783596	2.18472033221e-05	1.44377656823e-05
"Aurano"	0.000189408509271	0.000235698984946	0.00274916544987	0.000129611283055	0.00193705900339	8.15699645338e-05	0.000607473842133	0.0003760174658	0.00823731728086	9.1190389793e-05	0.00149533750493	0.000320794809921	5.56703159728e-05	0.000646484225982	4.45406490599e-05	0.000280146109583	1.31883607506e-05	0.000548821363251
"Blahom"	0.000111825524351	0.00158631156266	0.000418484871817	0.000463620325336	0.00549923768412	6.97080178194e-05	0.0053601425166	0.00328606677303	0.00183762807004	0.000175266517727	9.76373351992e-05	5.73569831472e-06	0.000480965173296	0.00125234687849	0.000334646138457	0.00024607943508	7.84281170374e-06	2.69856749939e-05
"Nangad"	0.00016410499123	0.000792760787248	0.000937603268853	0.000279031819275	0.00491450506812	0.000117099914956	0.00265917695453	0.00171224188273	0.00395233671599	0.000283647673223	0.000317194330058	2.26806144508e-05	0.000276698050339	0.00116585613721	0.000204055187869	0.000448350381577	2.58771820886e-05	6.99352812425e-05
"Fracyl"	9.80848412402e-05	0.00171100358132	0.000241856760357	0.000356808132293	0.0058244755671	8.62161140591e-05	0.00729465448066	0.00570246057077	0.000950849058129	0.000150618487269	3.18855262507e-05	1.11491229245e-06	0.00058366407923	0.00148150621741	0.000600823817852	0.000165045707795	4.26801255355e-06	1.16048886813e-05
"Psemul"	0.000129976422226	0.00133753676848	0.00040006597916	0.000332667314109	0.00662224534616	0.000114116481229	0.00523982983864	0.00358405116235	0.00162423907605	0.000262586141381	7.39655465327e-05	2.90499191668e-06	0.000518744116232	0.00163112383375	0.000529931689178	0.000284604034781	1.12851565305e-05	2.33162621231e-05
"Phatri"	0.000180877501154	0.0011223421832	0.000692469024931	0.00032124521774	0.00514647111726	0.000113270874793	0.00399234328605	0.00278716019995	0.0025982327725	0.000199973003367	0.000165495111792	1.14314273107e-05	0.000349234718471	0.00137161376537	0.000358274610846	0.000292954838003	1.13831511868e-05	5.30752787164e-05
"Thapse"	0.000119673421131	0.00106821704123	0.000389376075064	0.000332324277772	0.0067269945558	8.76588673653e-05	0.00391005816802	0.00236675845483	0.00160345311568	0.000228701588836	7.73112004326e-05	3.41463429346e-06	0.000461059564095	0.00163355617418	0.000502067971026	0.000367441166416	1.249211336e-05	2.58588927999e-05
"Albcan"	9.19501872767e-05	0.0015030562947	0.000330891533388	0.00039095706534	0.00629520474657	6.23553405534e-05	0.0056962897516	0.0037212395691	0.00124703322113	0.000156395502418	7.3953373981e-05	4.18339949052e-06	0.000638127082439	0.00167038849992	0.000464177894852	0.000288318246708	7.16286107688e-06	2.05608719272e-05
"Pytult"	0.000137076946406	0.000752158549126	0.000734653019583	0.000251884333419	0.00602907451108	7.24062724467e-05	0.00279026036087	0.00170315023651	0.00229262607483	0.000170511334802	0.000237024686514	2.36227400864e-05	0.000432318800224	0.00193196694545	0.000360480556646	0.000488743830694	1.38224138373e-05	7.28689045473e-05
"Sappar"	0.0001896430748	0.000439861752983	0.00128578377551	0.000180488428832	0.00505475034932	9.60399972442e-05	0.00160387264254	0.00101414052842	0.00383546540059	0.000173691089148	0.000487815718305	6.6473463121e-05	0.000279355005124	0.00169453125229	0.00024993013845	0.000454067864203	1.56026581789e-05	0.000170064606949
"Phyinf"	0.000165402422819	0.000731581225004	0.000728983870616	0.000238149849665	0.00498691933274	0.000120940751718	0.00282089676547	0.00227548261274	0.00253997787437	0.000180201280222	0.000199897077192	1.54686933408e-05	0.000323800711905	0.00143126591547	0.000324746348526	0.000407962240257	1.47416296658e-05	5.83645551897e-05
"Hyaara"	0.000138683358561	0.000905047107638	0.000531722758389	0.000258960586838	0.00569956966534	0.000108039881347	0.00377124077301	0.00302954786593	0.00180340411483	0.000171338593074	0.000127282140871	8.5911494743e-06	0.000465947724458	0.00168048352511	0.00043830190751	0.000355877644064	1.06982769614e-05	3.80027606898e-05
"Psecub"	0.000147262434274	0.00069292685757	0.000998081125928	0.000224087394506	0.006333294387	9.20920758738e-05	0.00273446381199	0.00172018278502	0.00313083604789	0.000246238398408	0.00037855598173	3.92463370454e-05	0.000472999143536	0.00201899476559	0.000297893704474	0.000539889476384	2.09908953949e-05	9.6249107717e-05
"Gialam"	9.9820608197e-05	0.000696203908988	0.000498440995613	0.00022521294242	0.00581794264669	0.000103677498572	0.00292545364223	0.00238104579749	0.00181089808678	0.000215937252285	0.000152140918359	8.73711332495e-06	0.000452673981841	0.00160136075376	0.000320697546531	0.000592649449321	2.19966234503e-05	2.92446672936e-05
"Permar"	0.000136915166715	0.000806220478461	0.000477421178481	0.000263688854828	0.00558430853686	0.000132053408278	0.00332808034907	0.00270490079152	0.00193304235807	0.000210233576616	0.000102997394011	5.14957395408e-06	0.000407623871456	0.00137920783346	0.000395530150243	0.000342835619311	1.29068008981e-05	2.90716805985e-05
"Stylem"	1.80563051263e-05	0.00253258873646	5.23802572187e-05	0.000414642640025	0.00386205345053	4.00395905006e-05	0.0103604904277	0.00909496896003	0.000252238185008	8.86428185079e-05	8.91955893465e-06	1.13408687209e-07	0.000534623481267	0.000802001303349	0.000276462564597	0.00018899080012	4.33776419961e-06	9.31922772673e-07
"Oxytri"	2.05403104156e-05	0.00274570804311	5.32024644291e-05	0.000389864234948	0.00383326139438	4.241970305e-05	0.0113800810451	0.0101558985677	0.000237674083978	8.31462949051e-05	7.61358106234e-06	9.52510506781e-08	0.000531924761704	0.00085806138208	0.000331278773129	0.000159614620009	3.46215999929e-06	9.95569912589e-07
"Partet"	1.57729499546e-05	0.00337602301792	3.58644574021e-05	0.000424849266415	0.00392646311937	3.41093351089e-05	0.014254867406	0.0118297257049	0.000184538808313	8.57959774027e-05	4.06409561797e-06	3.63048884705e-08	0.000600775789205	0.000763094064457	0.000335603696841	9.25585943773e-05	2.0224703073e-06	6.01668615923e-07
"Ichmul"	9.86425391727e-06	0.00530829217507	1.83235000927e-05	0.000199129843967	0.00116619566474	1.24925940275e-05	0.0261219159606	0.025529091948	8.12963574165e-05	1.73270060891e-05	1.29428450194e-06	1.12290884781e-08	0.000365974957731	0.000262850477561	0.000141502651777	1.28387739459e-05	1.90754880217e-07	1.01961564573e-07
