"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	6.10544462002586	1.41522338920962	2.42988877269702	1.50782421388296	2.79436657387889	4.87982079070049	1.6562340729468	3.61292995432683	3.86418563593009	7.50159705533417	0.657894736842105	1.25373134328358	1.24036835181357	1.96377687774273	2.46737481031866	4.69495439909641	2.56410256410256	1.59651669085631
"Leibra"	5.99904965550012	4.36140888208269	7.42995301622141	4.10742496050553	5.90995123334628	5.66211094521649	4.08344242219501	3.714718287012	7.44632913836944	6.18798757858063	8.77128656400228	10.0790513833992	4.91803278688525	5.62966387109556	4.26862425231104	5.39295263559969	10.5792245093346	5.48785683851726
"Trycru"	46.6088000369361	46.7508117037234	42.8468298807282	37.5955386967106	38.9447673125377	35.380391590203	40.1074875064622	32.0373679935012	43.1337662037572	36.6384238763963	46.896512161542	70.614406779661	33.4951818928812	38.537225319777	39.1637897967012	45.9252371543269	42.4670892247684	45.3820679504477
"Ectsil"	8.53514548841603	8.99505511695847	8.50862482677552	10.2770996776177	9.21843704190382	8.66844391043693	9.11901128620424	8.04921968787515	9.00985838974347	9.64803510110645	8.44486333647502	10.365990990991	8.30343500173059	8.74803787970262	8.93027038639782	8.60660275003875	9.4130408581415	7.77297002299926
"Aurlim"	1.36750172374167	0.624088735062068	0.84432079351639	0.643066934611223	0.71819476722393	0.854490988557678	0.621591159362085	0.6611306398135	0.69336030548898	0.69363343596277	0.36930349361105	0.0742390497401633	0.846696600384862	0.733794951096753	0.70565721803612	0.5982229260139	0.765445598687807	1.17873466442146
"Hypcat"	3.86680988184748	4.11826590102135	4.10540728603174	3.92645971914265	4.72369711844933	4.17151275490424	4.29354538430182	4.13522633995075	4.33118136271915	4.51585443711428	4.16537867078825	3.93873085339168	4.77896487748705	4.94073066459386	5.17229129662522	5.51973371374227	5.31654424623994	4.31217734588521
"Aurano"	11.768479578017	16.475357912074	9.54611416830702	14.5723601705543	12.4337840102079	16.0046323103648	16.8304802633977	19.8396524910173	10.4922378499202	10.6268351844759	8.87687193453372	7.28476821192053	21.6563972453788	13.6947959440208	15.5120196857846	12.489810705552	10.1036269430052	8.60006544581934
"Blahom"	24.7799152266058	13.1732234071153	16.438247643191	13.891343904341	15.922187801872	21.1236660389203	13.4781767886121	11.6973572694352	15.4099841879377	16.4092664092664	14.091321439371	9.24214417744917	14.7484992755123	15.3414945797782	17.2804532577904	11.1946532999165	11.4814814814815	21.5409658166034
"Nangad"	31.5761867296092	31.5296639201701	32.4511366496099	31.4727512728644	32.0561074328671	30.692316052603	31.5056365460662	31.2508731895869	32.367137372041	31.9675991334652	34.122158312791	32.4178298063935	31.6425273543735	32.1114638017336	31.487937526147	33.4813546626719	33.248601931876	31.41065830721
"Fracyl"	11.5174225782832	11.7461466648884	13.5263843509087	13.2623079036929	13.2181749906121	12.8736548425668	11.7758442255357	11.1885164943702	15.0128919570823	15.3250713475898	15.1796060254925	10.8108108108108	11.5634527145629	12.8409969443729	13.0845919001432	13.7948568937963	21.505376344086	16.9136248644742
