"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Bignat"	8132.65753353941	130524.323707549	29134.0591254952	42630.1255814492	599294.292521905	10267.9544293812	419860.640965283	253623.18497968	112159.069773955	18961.9328681962	6480.38661151245	289.349008958387	63774.1111155751	168865.001411267	41601.8083384312	27452.4447238438	1254.47135626345	1614.23426897833
"Leibra"	5768.85087266519	11114.6649963625	35388.1810506659	4512.10552333822	160645.623401604	5644.76710760063	28988.2702580588	18943.0372189094	99676.6689748931	7638.50375099632	12580.4587798692	1157.96704033085	7415.95450851121	52256.5103751826	7977.5180584258	18200.9950621788	1168.15898980206	3655.64515448098
"Trycru"	19165.0629991882	119381.125240067	103469.557232688	33032.6276555615	464760.720097189	8770.38822886898	344325.314305831	187841.26045804	327713.790895	22505.5977085129	33570.7356264896	2503.50355380936	30009.7720828148	144906.476762423	29665.9045432458	39738.0983547833	2156.5719862815	9552.7057536849
"Ectsil"	63071.5284222879	140901.879318323	269591.100147782	48213.7372161921	963327.151470255	50910.0731307029	426270.283519206	215290.808139916	797263.496760485	50334.8174038325	71866.6062058254	4456.98234086314	50735.7380328706	290167.551033155	68062.6274291024	66744.0476890958	4148.34724674063	19051.8093228528
"Aurlim"	6224.35131689176	96766.1771418182	26170.292061959	28612.9774786323	280501.180234527	7432.2881350882	309126.893137403	208417.26701658	76909.1207387776	11216.9172374048	6868.68507323015	352.066485871399	23787.48345094	70472.2164637836	14038.3170968175	21228.1044635886	870.462457411488	1216.96831240291
"Hypcat"	8669.52602989183	66932.8967306977	41052.0688698805	28174.0293893375	363405.090874814	9915.82809829118	174192.237422255	177715.660884194	158418.931664092	18618.2504925824	11990.7534633645	554.193542148083	20532.020150499	84359.2833342544	18093.7776356614	39184.1267339714	1900.84247255109	1788.36367904722
"Aurano"	10026.2244743724	11814.5425567446	229224.470657884	6710.10437978769	160224.778832801	4823.7719552413	29885.3673924936	14553.8077060726	469012.906173247	13047.5690713108	143330.071882332	21504.9765869253	3587.92192820987	42855.0684838132	3311.78386638272	9025.99691717248	758.754996534985	33633.5421274729
"Blahom"	2081.2012204304	47638.9437339202	7224.30411371195	18792.750953171	80871.0307597445	2015.28038655333	123761.824517072	45092.3602535824	32676.6287944234	3958.08380466924	1550.43992234606	93.294695372085	5993.58518022627	16969.5808572593	4726.4344181402	3667.81879083863	143.272588160303	471.302388113534
"Nangad"	4727.79420626334	30888.0392446001	29583.4447216682	11130.1359698737	168374.912009644	5279.52045051289	83064.4774513783	46128.0652281991	114650.273186344	10801.7666232994	10658.3769709966	669.795514526329	9486.08004933176	40725.1591273501	7307.73372450034	9605.80632762945	974.500645352212	2005.90947949232
"Fracyl"	8622.22822840955	175560.638646357	19668.9795647577	49144.1137805739	365941.668879792	10678.9147046978	649865.631488592	372929.95862057	71564.7075369849	13463.2139968785	2245.79603713258	48.9434756183128	38305.0668618214	87527.4898037083	32211.6927938118	12487.0435011454	364.2742400071	638.896392694521
